"South Regional","KFC Yum! Center, Louisville, KY","1","Kansas","1"
"South Regional","KFC Yum! Center, Louisville, KY","2","Villanova","7"
"South Regional","KFC Yum! Center, Louisville, KY","3","Miami (FL)","10"
"South Regional","KFC Yum! Center, Louisville, KY","4","California","14"
"South Regional","KFC Yum! Center, Louisville, KY","5","Maryland","19"
"South Regional","KFC Yum! Center, Louisville, KY","6","Arizona","23"
"South Regional","KFC Yum! Center, Louisville, KY","7","Iowa","27"
"South Regional","KFC Yum! Center, Louisville, KY","8","Colorado","30"
"South Regional","KFC Yum! Center, Louisville, KY","9","UConn","36"
"South Regional","KFC Yum! Center, Louisville, KY","10","Temple","38"
"South Regional","KFC Yum! Center, Louisville, KY","11","Vanderbilt","41"
"South Regional","KFC Yum! Center, Louisville, KY","11","Wichita St.","43"
"South Regional","KFC Yum! Center, Louisville, KY","12","South Dakota St.","50"
"South Regional","KFC Yum! Center, Louisville, KY","13","Hawaii","52"
"South Regional","KFC Yum! Center, Louisville, KY","14","Buffalo","56"
"South Regional","KFC Yum! Center, Louisville, KY","15","UNC Asheville","61"
"South Regional","KFC Yum! Center, Louisville, KY","16","Austin Peay","63"
"West Regional","Honda Center, Anaheim, CA","1","Oregon","4"
"West Regional","Honda Center, Anaheim, CA","2","Oklahoma","6"
"West Regional","Honda Center, Anaheim, CA","3","Texas A&M","12"
"West Regional","Honda Center, Anaheim, CA","4","Duke","13"
"West Regional","Honda Center, Anaheim, CA","5","Baylor","20"
"West Regional","Honda Center, Anaheim, CA","6","Texas","21"
"West Regional","Honda Center, Anaheim, CA","7","Oregon St.","28"
"West Regional","Honda Center, Anaheim, CA","8","Saint Joseph's","32"
"West Regional","Honda Center, Anaheim, CA","9","Cincinnati","35"
"West Regional","Honda Center, Anaheim, CA","10","VCU","40"
"West Regional","Honda Center, Anaheim, CA","11","UNI","46"
"West Regional","Honda Center, Anaheim, CA","12","Yale","49"
"West Regional","Honda Center, Anaheim, CA","13","UNCW","51"
"West Regional","Honda Center, Anaheim, CA","14","Green Bay","55"
"West Regional","Honda Center, Anaheim, CA","15","CSU Bakersfield","60"
"West Regional","Honda Center, Anaheim, CA","16","Holy Cross","68"
"West Regional","Honda Center, Anaheim, CA","16","Southern U.","67"
"East Regional","Wells Fargo Center, Philadelphia, PA","1","North Carolina","2"
"East Regional","Wells Fargo Center, Philadelphia, PA","2","Xavier","8"
"East Regional","Wells Fargo Center, Philadelphia, PA","3","West Virginia","9"
"East Regional","Wells Fargo Center, Philadelphia, PA","4","Kentucky","15"
"East Regional","Wells Fargo Center, Philadelphia, PA","5","Indiana","17"
"East Regional","Wells Fargo Center, Philadelphia, PA","6","Notre Dame","22"
"East Regional","Wells Fargo Center, Philadelphia, PA","7","Wisconsin","25"
"East Regional","Wells Fargo Center, Philadelphia, PA","8","Southern California","31"
"East Regional","Wells Fargo Center, Philadelphia, PA","9","Providence","33"
"East Regional","Wells Fargo Center, Philadelphia, PA","10","Pittsburgh","37"
"East Regional","Wells Fargo Center, Philadelphia, PA","11","Michigan","42"
"East Regional","Wells Fargo Center, Philadelphia, PA","11","Tulsa","45"
"East Regional","Wells Fargo Center, Philadelphia, PA","12","Chattanooga","47"
"East Regional","Wells Fargo Center, Philadelphia, PA","13","Stony Brook","53"
"East Regional","Wells Fargo Center, Philadelphia, PA","14","SFA","58"
"East Regional","Wells Fargo Center, Philadelphia, PA","15","Weber St.","62"
"East Regional","Wells Fargo Center, Philadelphia, PA","16","FGCU","65"
"East Regional","Wells Fargo Center, Philadelphia, PA","16","Fairleigh Dickinson","66"
"Midwest Regional","United Center, Chicago, IL","1","Virginia","3"
"Midwest Regional","United Center, Chicago, IL","2","Michigan St.","5"
"Midwest Regional","United Center, Chicago, IL","3","Utah","11"
"Midwest Regional","United Center, Chicago, IL","4","Iowa St.","16"
"Midwest Regional","United Center, Chicago, IL","5","Purdue","18"
"Midwest Regional","United Center, Chicago, IL","6","Seton Hall","24"
"Midwest Regional","United Center, Chicago, IL","7","Dayton","26"
"Midwest Regional","United Center, Chicago, IL","8","Texas Tech","29"
"Midwest Regional","United Center, Chicago, IL","9","Butler","34"
"Midwest Regional","United Center, Chicago, IL","10","Syracuse","39"
"Midwest Regional","United Center, Chicago, IL","11","Gonzaga","44"
"Midwest Regional","United Center, Chicago, IL","12","Little Rock","48"
"Midwest Regional","United Center, Chicago, IL","13","Iona","54"
"Midwest Regional","United Center, Chicago, IL","14","Fresno St.","57"
"Midwest Regional","United Center, Chicago, IL","15","Middle Tenn.","59"
"Midwest Regional","United Center, Chicago, IL","16","Hampton","64"
