"Rank","Name","GM","W-L","3FG","3FGA"
"1","The Citadel","32","10-22","363","1123"
"2","Akron","34","26-8","400","1027"
"3","Marshall","33","17-16","332","985"
"4","North Florida","33","22-11","402","977"
"5","Lipscomb","33","12-21","331","921"
"6","Hartford","33","10-23","319","903"
"7","Colorado St.","34","18-16","326","896"
"","UT Arlington","33","23-10","294","896"
"9","Belmont","31","20-11","324","894"
"10","Elon","32","16-16","303","886"
"11","Central Mich.","32","17-15","309","874"
"12","Eastern Wash.","32","17-15","329","861"
"13","Iona","32","22-10","320","860"
"14","Davidson","32","20-12","304","859"
"15","Michigan","34","22-12","326","849"
"16","Villanova","34","29-5","291","847"
"17","Army West Point","32","19-13","284","844"
"18","Milwaukee","33","20-13","306","842"
"19","IPFW","33","24-9","347","838"
"20","Canisius","33","14-19","285","836"
"21","Ga. Southern","31","14-17","282","834"
"22","Duquesne","32","16-16","301","830"
"23","Wyoming","31","13-18","307","829"
"24","Charleston So.","30","9-21","280","810"
"25","Gardner-Webb","33","17-16","276","809"
"26","Auburn","31","11-20","272","799"
"27","Fairfield","32","19-13","289","798"
"28","Montana St.","31","14-17","297","797"
"29","Duke","33","23-10","306","791"
"30","Boise St.","32","20-12","261","788"
"31","Portland","32","12-20","289","787"
"","Bethune-Cookman","32","14-18","249","787"
"33","Hofstra","33","24-9","279","786"
"34","Oklahoma","32","25-7","334","784"
"35","Columbia","31","21-10","293","783"
"","VMI","30","9-21","263","783"
"37","Northwestern","32","20-12","278","776"
"","Syracuse","32","19-13","280","776"
"","St. Francis Brooklyn","32","15-17","240","776"
"40","Stetson","34","12-22","282","775"
"41","BYU","33","23-10","294","774"
"","Sam Houston St.","34","18-16","264","774"
"","Liberty","32","13-19","283","774"
"","James Madison","32","21-11","278","774"
"45","Northeastern","33","18-15","286","770"
"","Georgetown","33","15-18","261","770"
"47","Weber St.","34","26-8","287","768"
"","NJIT","31","17-14","266","768"
"","Winthrop","32","23-9","285","768"
"50","Tennessee","34","15-19","251","767"
"51","Jackson St.","35","20-15","237","765"
"52","Illinois","34","15-19","277","764"
"53","La Salle","31","9-22","259","762"
"","Indiana","32","25-7","316","762"
"55","UNLV","33","18-15","252","760"
"","UNCG","32","14-18","276","760"
"57","Long Beach St.","34","20-14","279","757"
"58","Arizona St.","32","15-17","254","756"
"59","Chicago St.","32","4-28","228","750"
"","Buffalo","34","20-14","253","750"
"61","UT Martin","33","19-14","256","746"
"62","Texas A&M","34","26-8","261","745"
"","Ole Miss","32","20-12","252","745"
"","Creighton","32","18-14","262","745"
"65","UNI","34","22-12","278","742"
"66","Temple","32","21-11","251","739"
"67","Ball St.","32","19-13","275","736"
"68","Furman","33","18-15","237","734"
"","Florida","33","19-14","229","734"
"70","Alabama","32","18-14","251","732"
"71","Providence","33","23-10","234","729"
"","Utah Valley","30","12-18","256","729"
"73","Saint Joseph's","34","27-7","238","728"
"74","Marist","30","7-23","248","726"
"75","Monmouth","34","27-7","267","722"
"","Toledo","32","17-15","263","722"
"77","Southern Miss.","29","8-21","257","721"
"","Holy Cross","33","14-19","236","721"
"79","Appalachian St.","31","9-22","256","720"
"","Washington","32","18-14","240","720"
"81","ETSU","34","23-11","271","719"
"","Tulane","34","12-22","216","719"
"83","Valparaiso","32","26-6","260","718"
"","Oakland","32","21-11","284","718"
"","Colgate","30","13-17","267","718"
"86","Rice","32","12-20","228","716"
"","UC Riverside","33","14-19","252","716"
"88","Coppin St.","31","9-22","238","715"
"","Michigan St.","34","29-5","310","715"
"","Jacksonville","32","16-16","278","715"
"91","Utah","34","26-8","259","713"
"","Mt. St. Mary's","33","14-19","226","713"
"","Boston College","32","7-25","231","713"
"94","Chattanooga","34","29-5","259","712"
"95","Wichita St.","32","24-8","234","710"
"","Tennessee Tech","30","19-11","259","710"
"97","Massachusetts","32","14-18","234","709"
"","Jacksonville St.","31","8-23","243","709"
"99","Illinois St.","32","18-14","238","706"
"","Western Caro.","33","16-17","234","706"
"101","Youngstown St.","32","11-21","257","704"
"","Hawaii","32","27-5","230","704"
"103","Green Bay","35","23-12","246","703"
"","Purdue","34","26-8","259","703"
"105","Cincinnati","32","22-10","242","701"
"106","Ohio","32","21-11","273","699"
"107","Princeton","28","22-6","271","698"
"","Delaware St.","32","7-25","230","698"
"109","Iowa St.","32","21-11","265","697"
"110","Charlotte","33","14-19","266","696"
"111","Utah St.","31","16-15","257","695"
"","Vanderbilt","32","19-13","270","695"
"113","VCU","34","24-10","247","694"
"","Boston U.","32","18-14","252","694"
"","Nicholls St.","34","11-23","212","694"
"116","Indiana St.","32","15-17","210","693"
"117","SFA","32","27-5","254","691"
"","UTSA","32","5-27","220","691"
"119","San Jose St.","31","9-22","212","689"
"120","St. Mary's (CA)","32","27-5","284","687"
"","Idaho St.","31","16-15","250","687"
"","Wright St.","35","22-13","256","687"
"123","East Carolina","32","12-20","232","684"
"124","Cornell","28","10-18","233","683"
"125","Louisiana Tech","32","23-9","226","682"
"","Gonzaga","33","26-7","258","682"
"127","Cal Poly","30","10-20","238","681"
"128","Norfolk St.","33","17-16","240","679"
"129","Fla. Atlantic","33","8-25","229","678"
"130","Clemson","31","17-14","238","677"
"131","Campbell","30","12-18","224","675"
"","Southern California","33","21-12","260","675"
"133","Richmond","32","16-16","240","674"
"","Mississippi St.","31","14-17","225","674"
"","Troy","31","9-22","208","674"
"","Santa Clara","31","11-20","232","674"
"137","San Diego","30","9-21","192","673"
"","Fordham","30","17-13","232","673"
"","Middle Tenn.","33","24-9","260","673"
"","Maryland","33","25-8","252","673"
"","Maine","30","8-22","228","673"
"142","Xavier","32","27-5","243","672"
"","Quinnipiac","30","9-21","229","672"
"144","Lafayette","30","6-24","245","671"
"145","Oregon","34","28-6","234","670"
"146","Loyola Marymount","31","14-17","227","669"
"","South Dakota St.","32","25-7","239","669"
"148","Iowa","31","21-10","255","667"
"149","Ark.-Pine Bluff","33","8-25","202","666"
