"Rank","Name","GM","W-L","AST","TO","Ratio"
"1","St. Mary's (CA)","32","27-5","539","304","1.77"
"2","Michigan St.","34","29-5","699","402","1.74"
"3","North Carolina","34","28-6","616","371","1.66"
"4","Richmond","32","16-16","531","327","1.62"
"5","Northwestern","32","20-12","527","331","1.59"
"6","Milwaukee","33","20-13","566","362","1.56"
"7","Iowa","31","21-10","496","323","1.54"
"8","Michigan","34","22-12","509","333","1.53"
"9","Virginia","33","26-7","473","310","1.53"
"10","SFA","32","27-5","605","398","1.52"
"11","William & Mary","31","20-11","501","331","1.51"
"12","North Florida","33","22-11","547","362","1.51"
"13","Saint Joseph's","34","27-7","514","344","1.49"
"14","Davidson","32","20-12","482","323","1.49"
"15","Temple","32","21-11","433","293","1.48"
"16","UAB","32","26-6","591","400","1.48"
"17","Purdue","34","26-8","598","406","1.47"
"18","Arkansas","32","16-16","520","357","1.46"
"19","Stony Brook","32","26-6","531","365","1.45"
"20","Central Mich.","32","17-15","426","293","1.45"
"21","Villanova","34","29-5","549","378","1.45"
"22","High Point","31","21-10","479","331","1.45"
"23","Pittsburgh","32","21-11","541","374","1.45"
"24","Wichita St.","32","24-8","459","318","1.44"
"25","Sam Houston St.","34","18-16","575","400","1.44"
"26","Old Dominion","35","22-13","461","322","1.43"
"27","Texas A&M","34","26-8","574","401","1.43"
"28","Iowa St.","32","21-11","529","370","1.43"
"29","BYU","33","23-10","545","383","1.42"
"30","SMU","30","25-5","528","372","1.42"
"31","Toledo","32","17-15","527","373","1.41"
"32","Butler","31","21-10","445","317","1.40"
"33","Cincinnati","32","22-10","495","354","1.40"
"34","Evansville","34","25-9","595","426","1.40"
"35","Notre Dame","32","21-11","431","311","1.39"
"36","Providence","33","23-10","525","380","1.38"
"37","Baylor","33","22-11","587","425","1.38"
"38","Cal Poly","30","10-20","425","308","1.38"
"39","Loyola Marymount","31","14-17","482","352","1.37"
"40","Duke","33","23-10","445","326","1.37"
"41","Portland St.","31","13-18","527","390","1.35"
"42","Oakland","32","21-11","500","371","1.35"
"43","Columbia","31","21-10","451","337","1.34"
"44","Creighton","32","18-14","491","368","1.33"
"45","Akron","34","26-8","497","373","1.33"
"46","Iona","32","22-10","539","409","1.32"
"47","Princeton","28","22-6","419","320","1.31"
"48","Marshall","33","17-16","554","424","1.31"
"49","Clemson","31","17-14","411","315","1.30"
"50","Kentucky","34","26-8","490","376","1.30"
"51","Illinois","34","15-19","462","357","1.29"
"52","LSU","33","19-14","507","394","1.29"
"53","Hofstra","33","24-9","496","386","1.28"
"54","Xavier","32","27-5","524","408","1.28"
"55","CSU Bakersfield","32","24-8","501","391","1.28"
"56","UCLA","32","15-17","502","392","1.28"
"57","Vanderbilt","32","19-13","478","374","1.28"
"58","Utah","34","26-8","532","418","1.27"
"59","Tulsa","31","20-11","425","335","1.27"
"60","South Dakota","32","14-18","492","388","1.27"
"61","Holy Cross","33","14-19","459","362","1.27"
"62","Pepperdine","31","18-13","442","349","1.27"
"63","Kansas","34","30-4","542","428","1.27"
"64","Canisius","33","14-19","466","370","1.26"
"65","Fresno St.","34","25-9","458","364","1.26"
"66","VCU","34","24-10","488","389","1.25"
"67","IPFW","33","24-9","503","401","1.25"
"68","UT Arlington","33","23-10","561","448","1.25"
"69","Long Beach St.","34","20-14","516","413","1.25"
"70","Little Rock","33","29-4","433","347","1.25"
"71","UConn","34","24-10","471","378","1.25"
"72","Wofford","32","15-17","470","378","1.24"
"73","UC Irvine","34","25-9","518","417","1.24"
"74","Stetson","34","12-22","519","418","1.24"
"75","George Washington","33","23-10","463","374","1.24"
"76","Houston","31","22-9","402","325","1.24"
"77","Memphis","34","19-15","510","413","1.23"
"78","Gonzaga","33","26-7","458","372","1.23"
"79","UTEP","33","19-14","512","417","1.23"
"80","UTRGV","30","8-22","459","374","1.23"
"81","UC Santa Barbara","31","18-13","473","388","1.22"
"82","Southern California","33","21-12","491","403","1.22"
"83","Utah St.","31","16-15","454","373","1.22"
"84","UNI","34","22-12","406","334","1.22"
"85","Charlotte","33","14-19","481","396","1.21"
"86","Belmont","31","20-11","532","438","1.21"
"87","NJIT","31","17-14","488","402","1.21"
"88","Murray St.","31","17-14","445","367","1.21"
"89","Georgia Tech","33","19-14","443","367","1.21"
"90","Youngstown St.","32","11-21","467","387","1.21"
"91","Tennessee","34","15-19","458","380","1.21"
"92","Wright St.","35","22-13","478","397","1.20"
"93","Miami (FL)","32","25-7","410","341","1.20"
"94","Lipscomb","33","12-21","548","458","1.20"
"95","Hawaii","32","27-5","504","423","1.19"
"96","Elon","32","16-16","488","411","1.19"
"97","Louisville","31","23-8","419","353","1.19"
"98","Northeastern","33","18-15","485","409","1.19"
"99","Fairfield","32","19-13","498","421","1.18"
"100","St. Bonaventure","30","22-8","408","345","1.18"
"101","Sacramento St.","31","14-17","434","367","1.18"
"102","Oregon","34","28-6","464","393","1.18"
"103","Ohio","32","21-11","448","380","1.18"
"104","Oregon St.","31","19-12","418","355","1.18"
"105","Mercer","33","19-14","491","417","1.18"
"106","Chattanooga","34","29-5","495","422","1.17"
"107","UNCW","32","25-7","428","365","1.17"
"108","Indiana","32","25-7","511","437","1.17"
"109","Syracuse","32","19-13","450","388","1.16"
"110","La.-Monroe","33","20-13","472","407","1.16"
"111","Boise St.","32","20-12","430","372","1.16"
"112","Eastern Wash.","32","17-15","424","368","1.15"
"113","Tennessee Tech","30","19-11","432","375","1.15"
"114","Colorado St.","34","18-16","455","395","1.15"
"115","Green Bay","35","23-12","486","423","1.15"
"116","Bucknell","30","17-13","475","414","1.15"
"117","Lehigh","32","17-15","477","416","1.15"
"118","East Carolina","32","12-20","486","424","1.15"
"119","Eastern Ill.","30","13-17","417","364","1.15"
"120","Florida","33","19-14","431","377","1.14"
"121","Jacksonville St.","31","8-23","377","331","1.14"
"122","Yale","28","22-6","425","374","1.14"
"123","Arizona","33","25-8","479","423","1.13"
"124","Ball St.","32","19-13","472","417","1.13"
"125","The Citadel","32","10-22","498","441","1.13"
"126","Louisiana Tech","32","23-9","447","397","1.13"
"127","Dayton","32","25-7","470","418","1.12"
"128","Fordham","30","17-13","468","417","1.12"
"129","Army West Point","32","19-13","489","436","1.12"
"130","Oklahoma","32","25-7","465","415","1.12"
"131","Northern Ill.","33","21-12","469","420","1.12"
"132","Duquesne","32","16-16","496","445","1.11"
"133","Morehead St.","31","19-12","442","397","1.11"
"134","Georgetown","33","15-18","492","442","1.11"
"135","Drexel","31","6-25","384","345","1.11"
"136","Texas","32","20-12","367","332","1.11"
"137","Fairleigh Dickinson","32","18-14","456","414","1.10"
"138","UNCG","32","14-18","424","385","1.10"
"139","Brown","28","8-20","414","376","1.10"
"140","Marquette","33","20-13","533","485","1.10"
"141","FGCU","33","20-13","446","406","1.10"
"142","Jacksonville","32","16-16","402","366","1.10"
"143","Mississippi St.","31","14-17","431","393","1.10"
"144","Denver","31","16-15","443","404","1.10"
"145","Maryland","33","25-8","465","425","1.09"
"146","Montana","32","21-11","431","394","1.09"
"147","Portland","32","12-20","425","389","1.09"
"148","Omaha","31","18-13","441","404","1.09"
"149","Santa Clara","31","11-20","382","350","1.09"
"150","Colgate","30","13-17","398","365","1.09"
"151","Utah Valley","30","12-18","435","399","1.09"
"152","Texas Tech","31","19-12","404","371","1.09"
"153","Western Ill.","27","10-17","361","332","1.09"
"154","Massachusetts","32","14-18","443","409","1.08"
"155","Eastern Ky.","31","15-16","494","457","1.08"
"156","Middle Tenn.","33","24-9","431","399","1.08"
"157","South Carolina St.","34","19-15","432","400","1.08"
"158","USC Upstate","32","10-22","484","449","1.08"
"159","Alabama A&M","29","11-18","367","341","1.08"
"160","Wyoming","31","13-18","372","346","1.08"
"161","Texas Southern","32","18-14","458","426","1.08"
"162","Valparaiso","32","26-6","444","414","1.07"
"163","UNLV","33","18-15","499","466","1.07"
"164","Minnesota","31","8-23","379","354","1.07"
"165","James Madison","32","21-11","406","380","1.07"
"166","Ole Miss","32","20-12","412","386","1.07"
"167","Lafayette","30","6-24","416","391","1.06"
"168","Northwestern St.","28","8-20","433","407","1.06"
"169","California","33","23-10","428","403","1.06"
"170","Hartford","33","10-23","408","385","1.06"
"171","Rhode Island","32","17-15","391","369","1.06"
"172","Wisconsin","32","20-12","371","351","1.06"
"173","Arizona St.","32","15-17","405","384","1.05"
"174","West Virginia","34","26-8","502","476","1.05"
"175","San Jose St.","31","9-22","449","428","1.05"
"176","Weber St.","34","26-8","472","451","1.05"
"177","North Carolina St.","33","16-17","383","366","1.05"
"178","Montana St.","31","14-17","392","375","1.05"
"179","Navy","33","19-14","448","430","1.04"
"180","Washington","32","18-14","462","445","1.04"
"181","Harvard","30","14-16","452","436","1.04"
"182","New Mexico St.","33","23-10","469","455","1.03"
"183","Western Ky.","34","18-16","463","450","1.03"
"184","Colorado","33","22-11","454","442","1.03"
"185","Oral Roberts","31","14-17","383","373","1.03"
"186","LIU Brooklyn","31","16-15","432","422","1.02"
"187","New Hampshire","31","19-12","367","359","1.02"
"188","Vermont","34","21-13","460","451","1.02"
"189","Penn","28","11-17","380","373","1.02"
"190","North Dakota St.","32","20-12","345","339","1.02"
"191","Florida St.","32","19-13","425","418","1.02"
"192","Alabama St.","31","14-17","376","371","1.01"
"193","CSUN","30","10-20","423","420","1.01"
"194","Jackson St.","35","20-15","439","436","1.01"
"195","Gardner-Webb","33","17-16","442","439","1.01"
"196","Georgia St.","30","16-14","352","350","1.01"
"197","Charleston So.","30","9-21","379","378","1.00"
"198","Rice","32","12-20","420","419","1.00"
"199","North Dakota","32","17-15","423","423","1.00"
"","A&M-Corpus Christi","32","25-7","410","410","1.00"
"201","Coastal Caro.","29","18-11","358","359","1.00"
"202","Kansas St.","33","17-16","458","460","1.00"
"203","Boston U.","32","18-14","434","436","1.00"
"204","Wagner","32","22-10","426","428","1.00"
"205","Air Force","32","14-18","420","423","0.99"
"206","Illinois St.","32","18-14","402","405","0.99"
"207","UMBC","32","7-25","395","398","0.99"
"208","Nebraska","34","16-18","397","401","0.99"
"209","Kent St.","32","19-13","375","379","0.99"
"210","Texas St.","31","15-16","366","370","0.99"
"211","Bryant","31","8-23","415","420","0.99"
"212","Albany (NY)","32","24-8","399","404","0.99"
"213","Manhattan","31","13-18","436","442","0.99"
"214","Stanford","30","15-15","350","355","0.99"
"215","Rider","33","13-20","416","422","0.99"
"216","Radford","31","16-15","410","416","0.99"
"217","UT Martin","33","19-14","400","406","0.99"
"218","San Francisco","30","15-15","371","378","0.98"
"219","La.-Lafayette","31","17-14","392","400","0.98"
"220","Monmouth","34","27-7","417","426","0.98"
"221","Seton Hall","33","25-8","447","457","0.98"
"222","Campbell","30","12-18","345","353","0.98"
"223","Saint Louis","32","11-21","426","436","0.98"
"224","La Salle","31","9-22","388","398","0.97"
"225","Southern U.","34","22-12","372","382","0.97"
"226","Norfolk St.","33","17-16","401","412","0.97"
"227","ETSU","34","23-11","417","429","0.97"
"228","Lamar","30","11-19","425","439","0.97"
"229","Oklahoma St.","32","12-20","389","402","0.97"
"230","Detroit","31","16-15","408","422","0.97"
"231","Austin Peay","35","18-17","473","490","0.97"
"232","Wake Forest","31","11-20","434","451","0.96"
"233","Marist","30","7-23","350","364","0.96"
"234","Ga. Southern","31","14-17","344","359","0.96"
"235","Fla. Atlantic","33","8-25","385","402","0.96"
"236","Arkansas St.","31","11-20","381","398","0.96"
"237","Northern Ariz.","30","5-25","372","389","0.96"
"238","Samford","33","14-19","435","455","0.96"
"239","UNC Asheville","33","22-11","411","430","0.96"
"240","South Dakota St.","32","25-7","364","381","0.96"
"241","Missouri St.","32","13-19","390","409","0.95"
"242","South Carolina","32","24-8","424","445","0.95"
"243","Western Mich.","32","13-19","382","401","0.95"
"244","Washington St.","31","9-22","419","440","0.95"
"245","Boston College","32","7-25","410","431","0.95"
"246","Houston Baptist","33","17-16","460","484","0.95"
"247","Virginia Tech","33","19-14","402","423","0.95"
"248","Morgan St.","31","9-22","349","368","0.95"
"249","Liberty","32","13-19","419","442","0.95"
"250","UC Riverside","33","14-19","410","433","0.95"
"251","Pacific","28","8-20","362","383","0.95"
"252","FIU","32","13-19","391","414","0.94"
"253","New Mexico","32","17-15","461","489","0.94"
"254","Missouri","31","10-21","363","386","0.94"
"255","Saint Francis (PA)","30","13-17","356","379","0.94"
"256","Winthrop","32","23-9","378","403","0.94"
"257","Southeastern La.","33","12-21","472","504","0.94"
"258","Kennesaw St.","31","11-20","379","405","0.94"
"259","Buffalo","34","20-14","433","465","0.93"
"260","Idaho St.","31","16-15","380","409","0.93"
"261","Troy","31","9-22","349","376","0.93"
"262","Furman","33","18-15","404","436","0.93"
"263","Col. of Charleston","31","17-14","364","393","0.93"
"264","Bowling Green","34","16-18","398","430","0.93"
"265","Nevada","32","19-13","392","424","0.92"
"266","Georgia","32","19-13","396","430","0.92"
"267","Towson","32","20-12","361","392","0.92"
"268","Dartmouth","28","10-18","368","401","0.92"
"269","N.C. Central","32","13-19","406","444","0.91"
"270","Loyola Chicago","32","15-17","370","405","0.91"
"271","Saint Peter's","30","14-16","357","392","0.91"
"272","Southern Miss.","29","8-21","353","388","0.91"
"273","Central Ark.","28","7-21","370","407","0.91"
"274","Siena","33","21-12","477","527","0.91"
"275","New Orleans","30","10-20","408","452","0.90"
"276","Mt. St. Mary's","33","14-19","361","401","0.90"
"277","Drake","31","7-24","378","421","0.90"
"278","Bethune-Cookman","32","14-18","372","415","0.90"
"279","McNeese St.","29","9-20","331","370","0.89"
"280","Penn St.","32","16-16","322","361","0.89"
"281","Eastern Mich.","33","18-15","379","425","0.89"
"282","Southeast Mo. St.","29","5-24","358","402","0.89"
"283","Ohio St.","33","20-13","379","426","0.89"
"284","Longwood","33","10-23","421","474","0.89"
"285","Southern Utah","29","5-24","338","381","0.89"
"286","Delaware","30","7-23","319","360","0.89"
"287","Maine","30","8-22","433","491","0.88"
"288","Robert Morris","32","10-22","400","454","0.88"
"289","Hampton","31","21-10","377","433","0.87"
"290","Western Caro.","33","16-17","413","475","0.87"
"291","UCF","30","12-18","379","440","0.86"
"292","Loyola Maryland","30","9-21","337","392","0.86"
"293","Coppin St.","31","9-22","348","408","0.85"
"294","St. John's (NY)","32","8-24","418","491","0.85"
"295","Rutgers","32","7-25","377","443","0.85"
"296","Central Conn. St.","29","4-25","341","402","0.85"
"297","San Diego St.","34","25-9","360","426","0.85"
"298","UMKC","31","12-19","350","415","0.84"
"299","Southern Ill.","32","22-10","369","438","0.84"
"300","UTSA","32","5-27","366","435","0.84"
"301","St. Francis Brooklyn","32","15-17","370","442","0.84"
"302","Idaho","33","21-12","413","494","0.84"
"303","Miami (OH)","33","13-20","336","402","0.84"
"304","Seattle","30","14-16","393","471","0.83"
"305","IUPUI","32","13-19","355","426","0.83"
"306","VMI","30","9-21","330","397","0.83"
"307","Tulane","34","12-22","372","451","0.82"
"308","Delaware St.","32","7-25","367","446","0.82"
"309","Auburn","31","11-20","352","428","0.82"
"310","Quinnipiac","30","9-21","377","459","0.82"
"311","Sacred Heart","30","12-18","363","442","0.82"
"312","Indiana St.","32","15-17","347","423","0.82"
"313","Chicago St.","32","4-28","375","458","0.82"
"314","North Texas","32","12-20","362","443","0.82"
"315","American","31","12-19","348","428","0.81"
"316","Cornell","28","10-18","302","372","0.81"
"317","Nicholls St.","34","11-23","433","534","0.81"
"318","George Mason","32","11-21","328","407","0.81"
"319","SIUE","28","6-22","303","377","0.80"
"320","UC Davis","30","11-19","342","427","0.80"
"321","San Diego","30","9-21","328","410","0.80"
"322","Mississippi Val.","34","7-27","359","449","0.80"
"323","TCU","33","12-21","382","478","0.80"
"324","DePaul","31","9-22","366","458","0.80"
"325","Binghamton","30","8-22","333","419","0.79"
"326","Presbyterian","31","11-20","350","441","0.79"
"327","Alabama","32","18-14","338","426","0.79"
"328","UMES","32","10-22","403","512","0.79"
"329","Appalachian St.","31","9-22","358","462","0.77"
"330","Tennessee St.","30","20-10","316","408","0.77"
"331","Cal St. Fullerton","30","10-20","304","393","0.77"
"332","N.C. A&T","32","10-22","339","439","0.77"
"333","Ill.-Chicago","30","5-25","347","453","0.77"
"334","Northern Colo.","31","10-21","322","427","0.75"
"335","Niagara","32","7-25","347","461","0.75"
"336","South Ala.","33","14-19","350","483","0.72"
"337","Cleveland St.","32","9-23","327","459","0.71"
"338","Savannah St.","31","16-15","323","458","0.71"
"339","Florida A&M","29","8-21","319","466","0.68"
"340","South Fla.","33","8-25","331","485","0.68"
"341","Grambling","30","7-23","289","430","0.67"
"342","Alcorn","30","15-15","272","429","0.63"
"343","Ark.-Pine Bluff","33","8-25","317","516","0.61"
"344","Prairie View","31","7-24","269","465","0.58"
"345","Howard","32","12-20","275","477","0.58"
"346","Bradley","32","5-27","292","548","0.53"
"NR","Grand Canyon","32","26-6","479","390","1.23"
"NR","Incarnate Word","29","17-12","428","368","1.16"
"NR","Northern Ky.","30","9-21","439","406","1.08"
"NR","Abilene Christian","31","13-18","422","418","1.01"
"NR","UMass Lowell","29","11-18","426","455","0.94"
