"Rank","Name","GM","W-L","DRebs","RPG"
"1","Michigan St.","34","29-5","1005","29.56"
"2","George Mason","32","11-21","940","29.38"
"3","Arkansas St.","31","11-20","909","29.32"
"4","Purdue","34","26-8","995","29.26"
"5","Colorado","33","22-11","963","29.18"
"6","New Mexico St.","33","23-10","961","29.12"
"7","Vanderbilt","32","19-13","930","29.06"
"8","Valparaiso","32","26-6","929","29.03"
"9","BYU","33","23-10","958","29.03"
"10","Gonzaga","33","26-7","957","29.00"
"11","Weber St.","34","26-8","984","28.94"
"12","Duquesne","32","16-16","926","28.94"
"13","UT Arlington","33","23-10","953","28.88"
"14","Dayton","32","25-7","920","28.75"
"15","California","33","23-10","945","28.64"
"16","Arizona","33","25-8","944","28.61"
"17","James Madison","32","21-11","912","28.50"
"18","Saint Joseph's","34","27-7","967","28.44"
"19","Nevada","32","19-13","910","28.44"
"20","FGCU","33","20-13","935","28.33"
"21","Army West Point","32","19-13","906","28.31"
"22","William & Mary","31","20-11","877","28.29"
"23","Oklahoma","32","25-7","899","28.09"
"24","Monmouth","34","27-7","954","28.06"
"25","Oakland","32","21-11","895","27.97"
"26","Xavier","32","27-5","894","27.94"
"27","UCF","30","12-18","836","27.87"
"28","Evansville","34","25-9","945","27.79"
"29","Coastal Caro.","29","18-11","806","27.79"
"30","North Dakota","32","17-15","889","27.78"
"31","Utah","34","26-8","942","27.71"
"32","Ill.-Chicago","30","5-25","829","27.63"
"33","Memphis","34","19-15","939","27.62"
"34","Georgia","32","19-13","881","27.53"
"35","Hampton","31","21-10","853","27.52"
"","New Hampshire","31","19-12","853","27.52"
"37","Utah Valley","30","12-18","825","27.50"
"38","Jacksonville","32","16-16","879","27.47"
"39","Southern California","33","21-12","906","27.45"
"40","Hofstra","33","24-9","903","27.36"
"41","UCLA","32","15-17","874","27.31"
"42","Mercer","33","19-14","901","27.30"
"43","La.-Lafayette","31","17-14","845","27.26"
"44","UAB","32","26-6","872","27.25"
"","Indiana St.","32","15-17","872","27.25"
"","Creighton","32","18-14","872","27.25"
"47","UTEP","33","19-14","897","27.18"
"48","FIU","32","13-19","869","27.16"
"","Winthrop","32","23-9","869","27.16"
"50","Seton Hall","33","25-8","896","27.15"
"51","UC Irvine","34","25-9","923","27.15"
"52","Louisiana Tech","32","23-9","868","27.13"
"53","UNLV","33","18-15","895","27.12"
"54","Kansas","34","30-4","922","27.12"
"55","UConn","34","24-10","920","27.06"
"56","Stony Brook","32","26-6","865","27.03"
"57","San Diego St.","34","25-9","919","27.03"
"58","Ohio","32","21-11","864","27.00"
"59","Colorado St.","34","18-16","917","26.97"
"60","Northern Ill.","33","21-12","890","26.97"
"","Florida","33","19-14","890","26.97"
"","Ohio St.","33","20-13","890","26.97"
"63","New Mexico","32","17-15","863","26.97"
"","Iowa St.","32","21-11","863","26.97"
"65","UC Santa Barbara","31","18-13","836","26.97"
"66","North Carolina","34","28-6","916","26.94"
"67","Marshall","33","17-16","889","26.94"
"68","Princeton","28","22-6","754","26.93"
"69","Boston U.","32","18-14","861","26.91"
"70","Siena","33","21-12","887","26.88"
"71","Yale","28","22-6","752","26.86"
"72","Buffalo","34","20-14","913","26.85"
"73","Quinnipiac","30","9-21","804","26.80"
"74","Akron","34","26-8","910","26.76"
"75","Hawaii","32","27-5","856","26.75"
"","Ball St.","32","19-13","856","26.75"
"77","Delaware","30","7-23","802","26.73"
"78","Toledo","32","17-15","855","26.72"
"","South Dakota St.","32","25-7","855","26.72"
"80","South Carolina","32","24-8","854","26.69"
"81","Brown","28","8-20","747","26.68"
"82","Western Ky.","34","18-16","907","26.68"
"83","Harvard","30","14-16","800","26.67"
"84","Middle Tenn.","33","24-9","879","26.64"
"85","Albany (NY)","32","24-8","852","26.63"
"86","Elon","32","16-16","850","26.56"
"87","Milwaukee","33","20-13","874","26.48"
"88","Iowa","31","21-10","821","26.48"
"89","Western Ill.","27","10-17","715","26.48"
"90","San Francisco","30","15-15","793","26.43"
"91","Jackson St.","35","20-15","924","26.40"
"92","Tennessee Tech","30","19-11","791","26.37"
"93","Villanova","34","29-5","896","26.35"
"94","Marquette","33","20-13","869","26.33"
"","Bucknell","30","17-13","790","26.33"
"96","Iona","32","22-10","842","26.31"
"97","Houston Baptist","33","17-16","867","26.27"
"","IPFW","33","24-9","867","26.27"
"","Maryland","33","25-8","867","26.27"
"","Lipscomb","33","12-21","867","26.27"
"101","Bowling Green","34","16-18","893","26.26"
"102","Missouri","31","10-21","814","26.26"
"103","Vermont","34","21-13","892","26.24"
"104","SMU","30","25-5","787","26.23"
"105","Georgetown","33","15-18","865","26.21"
"106","Belmont","31","20-11","811","26.16"
"107","St. Mary's (CA)","32","27-5","837","26.16"
"108","UNC Asheville","33","22-11","863","26.15"
"109","Sacramento St.","31","14-17","810","26.13"
"110","Wagner","32","22-10","836","26.13"
"111","LSU","33","19-14","862","26.12"
"112","Saint Peter's","30","14-16","783","26.10"
"","CSUN","30","10-20","783","26.10"
"114","Wake Forest","31","11-20","809","26.10"
"115","Texas A&M","34","26-8","887","26.09"
"116","Massachusetts","32","14-18","834","26.06"
"117","Cal St. Fullerton","30","10-20","781","26.03"
"118","Washington","32","18-14","833","26.03"
"119","George Washington","33","23-10","859","26.03"
"120","Stetson","34","12-22","884","26.00"
"","South Fla.","33","8-25","858","26.00"
"122","Green Bay","35","23-12","909","25.97"
"123","Western Mich.","32","13-19","831","25.97"
"124","Pepperdine","31","18-13","804","25.94"
"125","UC Davis","30","11-19","778","25.93"
"126","San Jose St.","31","9-22","803","25.90"
"127","Cincinnati","32","22-10","828","25.88"
"128","Washington St.","31","9-22","802","25.87"
"","Oral Roberts","31","14-17","802","25.87"
"130","Tennessee St.","30","20-10","775","25.83"
"131","UT Martin","33","19-14","852","25.82"
"132","Wichita St.","32","24-8","826","25.81"
"133","Sam Houston St.","34","18-16","877","25.79"
"134","Georgia Tech","33","19-14","851","25.79"
"","Idaho","33","21-12","851","25.79"
"136","CSU Bakersfield","32","24-8","825","25.78"
"","North Dakota St.","32","20-12","825","25.78"
"138","Kentucky","34","26-8","876","25.76"
"139","Air Force","32","14-18","824","25.75"
"","Northwestern","32","20-12","824","25.75"
"141","North Carolina St.","33","16-17","849","25.73"
"142","Fresno St.","34","25-9","874","25.71"
"143","North Florida","33","22-11","848","25.70"
"144","Fairfield","32","19-13","822","25.69"
"145","Detroit","31","16-15","796","25.68"
"146","Davidson","32","20-12","820","25.63"
"147","Idaho St.","31","16-15","794","25.61"
"148","UNCW","32","25-7","819","25.59"
"149","Old Dominion","35","22-13","895","25.57"
"150","Temple","32","21-11","818","25.56"
"151","Longwood","33","10-23","843","25.55"
"152","Penn","28","11-17","715","25.54"
"153","Southern U.","34","22-12","868","25.53"
"154","Drake","31","7-24","790","25.48"
"155","Howard","32","12-20","815","25.47"
"","Saint Louis","32","11-21","815","25.47"
"157","Central Ark.","28","7-21","713","25.46"
"158","Rider","33","13-20","840","25.45"
"159","LIU Brooklyn","31","16-15","789","25.45"
"160","Florida St.","32","19-13","814","25.44"
"161","La.-Monroe","33","20-13","839","25.42"
"162","Auburn","31","11-20","788","25.42"
"","Utah St.","31","16-15","788","25.42"
"164","Tennessee","34","15-19","864","25.41"
"165","Texas Southern","32","18-14","813","25.41"
"166","South Ala.","33","14-19","838","25.39"
"167","Pacific","28","8-20","711","25.39"
"168","Pittsburgh","32","21-11","812","25.38"
"","Arkansas","32","16-16","812","25.38"
"170","Montana","32","21-11","811","25.34"
"","Indiana","32","25-7","811","25.34"
"172","Seattle","30","14-16","760","25.33"
"173","Long Beach St.","34","20-14","860","25.29"
"174","Lamar","30","11-19","758","25.27"
"175","Troy","31","9-22","783","25.26"
"176","USC Upstate","32","10-22","808","25.25"
"177","UC Riverside","33","14-19","833","25.24"
"178","ETSU","34","23-11","858","25.24"
"179","Austin Peay","35","18-17","882","25.20"
"180","Ole Miss","32","20-12","806","25.19"
"","Bradley","32","5-27","806","25.19"
"182","Notre Dame","32","21-11","805","25.16"
"183","NJIT","31","17-14","778","25.10"
"184","Miami (FL)","32","25-7","802","25.06"
"","Missouri St.","32","13-19","802","25.06"
"186","Oklahoma St.","32","12-20","801","25.03"
"187","Tulane","34","12-22","851","25.03"
"188","Sacred Heart","30","12-18","750","25.00"
"","Kent St.","32","19-13","800","25.00"
"","Houston","31","22-9","775","25.00"
"","Central Mich.","32","17-15","800","25.00"
"","Butler","31","21-10","775","25.00"
"193","Rutgers","32","7-25","799","24.97"
"194","McNeese St.","29","9-20","724","24.97"
"195","Gardner-Webb","33","17-16","823","24.94"
"196","Tulsa","31","20-11","773","24.94"
"","Omaha","31","18-13","773","24.94"
"198","Binghamton","30","8-22","748","24.93"
"199","Charlotte","33","14-19","822","24.91"
"","Providence","33","23-10","822","24.91"
"201","Youngstown St.","32","11-21","797","24.91"
"","St. John's (NY)","32","8-24","797","24.91"
"","Illinois St.","32","18-14","797","24.91"
"204","UTRGV","30","8-22","747","24.90"
"205","Chattanooga","34","29-5","846","24.88"
"206","Alabama","32","18-14","796","24.88"
"","Towson","32","20-12","796","24.88"
"","North Texas","32","12-20","796","24.88"
"","Boise St.","32","20-12","796","24.88"
"210","VCU","34","24-10","845","24.85"
"211","St. Francis Brooklyn","32","15-17","795","24.84"
"212","Charleston So.","30","9-21","745","24.83"
"213","Mississippi St.","31","14-17","769","24.81"
"214","Saint Francis (PA)","30","13-17","744","24.80"
"215","Radford","31","16-15","768","24.77"
"","Louisville","31","23-8","768","24.77"
"","Santa Clara","31","11-20","768","24.77"
"","Wyoming","31","13-18","768","24.77"
"219","Cal Poly","30","10-20","743","24.77"
"220","Navy","33","19-14","817","24.76"
"","Furman","33","18-15","817","24.76"
"222","UNCG","32","14-18","792","24.75"
"223","Portland St.","31","13-18","767","24.74"
"","Columbia","31","21-10","767","24.74"
"225","Northeastern","33","18-15","816","24.73"
"226","Florida A&M","29","8-21","717","24.72"
"227","N.C. A&T","32","10-22","791","24.72"
"228","Northern Ariz.","30","5-25","741","24.70"
"229","Little Rock","33","29-4","815","24.70"
"230","Montana St.","31","14-17","765","24.68"
"231","UNI","34","22-12","839","24.68"
"232","Central Conn. St.","29","4-25","715","24.66"
"233","St. Bonaventure","30","22-8","739","24.63"
"234","Wright St.","35","22-13","862","24.63"
"235","South Dakota","32","14-18","788","24.63"
"","Lehigh","32","17-15","788","24.63"
"237","Alabama St.","31","14-17","762","24.58"
"238","Western Caro.","33","16-17","811","24.58"
"239","Mississippi Val.","34","7-27","834","24.53"
"240","Eastern Mich.","33","18-15","809","24.52"
"241","IUPUI","32","13-19","784","24.50"
"242","Arizona St.","32","15-17","783","24.47"
"","Rhode Island","32","17-15","783","24.47"
"","N.C. Central","32","13-19","783","24.47"
"","Niagara","32","7-25","783","24.47"
"246","Minnesota","31","8-23","758","24.45"
"247","Ga. Southern","31","14-17","757","24.42"
"248","Oregon","34","28-6","830","24.41"
"249","Nicholls St.","34","11-23","829","24.38"
