"Rank","Name","GM","W-L","Fouls"
"1","UCF","30","12-18","468"
"2","SMU","30","25-5","472"
"3","Princeton","28","22-6","478"
"4","Texas Southern","32","18-14","483"
"5","Yale","28","22-6","496"
"","Notre Dame","32","21-11","496"
"7","Iowa St.","32","21-11","497"
"8","Cincinnati","32","22-10","500"
"","St. Mary's (CA)","32","27-5","500"
"10","Iowa","31","21-10","504"
"11","Central Conn. St.","29","4-25","505"
"12","North Dakota St.","32","20-12","507"
"13","Stony Brook","32","26-6","509"
"14","Coastal Caro.","29","18-11","511"
"15","Clemson","31","17-14","512"
"","William & Mary","31","20-11","512"
"17","Southeast Mo. St.","29","5-24","514"
"","Penn","28","11-17","514"
"19","Saint Francis (PA)","30","13-17","515"
"","UNI","34","22-12","515"
"21","Temple","32","21-11","516"
"22","New Mexico St.","33","23-10","521"
"23","Hofstra","33","24-9","525"
"24","Utah","34","26-8","526"
"25","Saint Peter's","30","14-16","528"
"26","Syracuse","32","19-13","530"
"","Michigan","34","22-12","530"
"","Miami (FL)","32","25-7","530"
"29","UC Davis","30","11-19","532"
"30","East Carolina","32","12-20","536"
"","UTRGV","30","8-22","536"
"32","Delaware","30","7-23","537"
"33","North Florida","33","22-11","538"
"","Harvard","30","14-16","538"
"","Oklahoma","32","25-7","538"
"36","La Salle","31","9-22","539"
"37","Virginia","33","26-7","540"
"38","George Washington","33","23-10","542"
"","Wisconsin","32","20-12","542"
"40","Seattle","30","14-16","543"
"","Brown","28","8-20","543"
"","Southern Miss.","29","8-21","543"
"43","Saint Joseph's","34","27-7","545"
"","High Point","31","21-10","545"
"45","Utah St.","31","16-15","546"
"","Northeastern","33","18-15","546"
"47","Alcorn","30","15-15","548"
"","Maryland","33","25-8","548"
"","Davidson","32","20-12","548"
"50","Tulsa","31","20-11","549"
"","Lehigh","32","17-15","549"
"","Duke","33","23-10","549"
"53","Toledo","32","17-15","552"
"","New Hampshire","31","19-12","552"
"55","Robert Morris","32","10-22","553"
"56","Holy Cross","33","14-19","555"
"","Western Ill.","27","10-17","555"
"58","North Carolina St.","33","16-17","558"
"","Binghamton","30","8-22","558"
"","Providence","33","23-10","558"
"61","Drake","31","7-24","559"
"62","Albany (NY)","32","24-8","561"
"","Northwestern St.","28","8-20","561"
"64","Rice","32","12-20","562"
"","Rutgers","32","7-25","562"
"","Cornell","28","10-18","562"
"","Alabama A&M","29","11-18","562"
"","Milwaukee","33","20-13","562"
"69","Northern Ariz.","30","5-25","564"
"","Pittsburgh","32","21-11","564"
"","Oral Roberts","31","14-17","564"
"72","Florida A&M","29","8-21","566"
"","Minnesota","31","8-23","566"
"74","American","31","12-19","567"
"75","UAB","32","26-6","568"
"76","Dartmouth","28","10-18","569"
"77","Youngstown St.","32","11-21","571"
"78","George Mason","32","11-21","572"
"79","Morgan St.","31","9-22","573"
"","IPFW","33","24-9","573"
"","Texas Tech","31","19-12","573"
"82","Mercer","33","19-14","574"
"83","Central Ark.","28","7-21","575"
"","UNC Asheville","33","22-11","575"
"85","Southern California","33","21-12","576"
"","Charleston So.","30","9-21","576"
"","Texas St.","31","15-16","576"
"88","Gonzaga","33","26-7","577"
"","Chattanooga","34","29-5","577"
"90","Louisiana Tech","32","23-9","578"
"","Pepperdine","31","18-13","578"
"92","Georgia St.","30","16-14","579"
"","Boston College","32","7-25","579"
"94","Radford","31","16-15","580"
"95","Wyoming","31","13-18","581"
"","Kent St.","32","19-13","581"
"","Campbell","30","12-18","581"
"98","UT Martin","33","19-14","582"
"","Indiana","32","25-7","582"
"","Troy","31","9-22","582"
"101","McNeese St.","29","9-20","583"
"102","La.-Monroe","33","20-13","584"
"","Purdue","34","26-8","584"
"","Loyola Chicago","32","15-17","584"
"","Colgate","30","13-17","584"
"","Eastern Ill.","30","13-17","584"
"","Tennessee Tech","30","19-11","584"
"108","Ohio St.","33","20-13","585"
"109","Illinois","34","15-19","586"
"","VMI","30","9-21","586"
"111","Rider","33","13-20","587"
"","Marist","30","7-23","587"
"","Idaho St.","31","16-15","587"
"","St. Bonaventure","30","22-8","587"
"115","Charlotte","33","14-19","588"
"","Lafayette","30","6-24","588"
"","South Fla.","33","8-25","588"
"118","Ohio","32","21-11","590"
"","San Diego St.","34","25-9","590"
"","Portland St.","31","13-18","590"
"121","Bryant","31","8-23","592"
"","Jacksonville","32","16-16","592"
"","Grambling","30","7-23","592"
"","Columbia","31","21-10","592"
"125","La.-Lafayette","31","17-14","594"
"","Central Mich.","32","17-15","594"
"","Georgia Tech","33","19-14","594"
"","Furman","33","18-15","594"
"","Fordham","30","17-13","594"
"130","Denver","31","16-15","595"
"","Presbyterian","31","11-20","595"
"132","Houston","31","22-9","596"
"","UCLA","32","15-17","596"
"","Villanova","34","29-5","596"
"135","Louisville","31","23-8","597"
"","Mississippi St.","31","14-17","597"
"137","Weber St.","34","26-8","598"
"138","FIU","32","13-19","599"
"139","Stanford","30","15-15","600"
"140","Arizona","33","25-8","601"
"","Evansville","34","25-9","601"
"","Bethune-Cookman","32","14-18","601"
"","St. Francis Brooklyn","32","15-17","601"
"","Little Rock","33","29-4","601"
"145","Southern Utah","29","5-24","602"
"146","Akron","34","26-8","603"
"","Cal Poly","30","10-20","603"
"","Winthrop","32","23-9","603"
"149","Northwestern","32","20-12","605"
"","Kennesaw St.","31","11-20","605"
"","CSUN","30","10-20","605"
"152","Ball St.","32","19-13","606"
"153","Oregon","34","28-6","607"
"","Elon","32","16-16","607"
"155","Rhode Island","32","17-15","608"
"156","North Carolina","34","28-6","609"
"","Wofford","32","15-17","609"
"","Creighton","32","18-14","609"
"159","Richmond","32","16-16","610"
"","Army West Point","32","19-13","610"
"","LSU","33","19-14","610"
"","Dayton","32","25-7","610"
"","Austin Peay","35","18-17","610"
"164","NJIT","31","17-14","611"
"","Western Ky.","34","18-16","611"
"","Jacksonville St.","31","8-23","611"
"","Cal St. Fullerton","30","10-20","611"
"","Boston U.","32","18-14","611"
"169","Vanderbilt","32","19-13","612"
"","James Madison","32","21-11","612"
"","UConn","34","24-10","612"
"172","Quinnipiac","30","9-21","613"
"","Fairfield","32","19-13","613"
"","Santa Clara","31","11-20","613"
"175","Oakland","32","21-11","614"
"","UC Santa Barbara","31","18-13","614"
"","Washington St.","31","9-22","614"
"","Stetson","34","12-22","614"
"179","Texas A&M","34","26-8","615"
"180","Seton Hall","33","25-8","616"
"","Colorado","33","22-11","616"
"","Arkansas St.","31","11-20","616"
"183","Air Force","32","14-18","617"
"","Butler","31","21-10","617"
"","Belmont","31","20-11","617"
"186","Murray St.","31","17-14","618"
"","Alabama","32","18-14","618"
"188","Miami (OH)","33","13-20","619"
"","SIUE","28","6-22","619"
"190","Col. of Charleston","31","17-14","620"
"191","San Francisco","30","15-15","621"
"","Marquette","33","20-13","621"
"","Savannah St.","31","16-15","621"
"194","Missouri St.","32","13-19","622"
"","Iona","32","22-10","622"
"","Boise St.","32","20-12","622"
"","Tennessee St.","30","20-10","622"
"198","USC Upstate","32","10-22","623"
"","Longwood","33","10-23","623"
"","Florida St.","32","19-13","623"
"201","Oregon St.","31","19-12","624"
"","Illinois St.","32","18-14","624"
"","BYU","33","23-10","624"
"204","Sacred Heart","30","12-18","625"
"205","Niagara","32","7-25","626"
"206","Utah Valley","30","12-18","627"
