"Rank","Name","GM","W-L","OPP FG","OPP FGA","OPP FG%"
"1","San Diego St.","34","25-9","706","1902","37.1"
"2","Michigan St.","34","29-5","741","1966","37.7"
"3","Valparaiso","32","26-6","671","1762","38.1"
"4","UConn","34","24-10","737","1931","38.2"
"5","Georgia","32","19-13","715","1863","38.4"
"6","Wichita St.","32","24-8","602","1565","38.5"
"7","Vanderbilt","32","19-13","762","1974","38.6"
"8","UC Irvine","34","25-9","758","1959","38.7"
"9","Little Rock","33","29-4","664","1710","38.8"
"10","New Mexico St.","33","23-10","756","1944","38.9"
"11","Monmouth","34","27-7","815","2088","39.0"
"12","Louisville","31","23-8","631","1616","39.0"
"13","Cincinnati","32","22-10","722","1849","39.0"
"14","Jackson St.","35","20-15","732","1872","39.1"
"15","CSU Bakersfield","32","24-8","668","1708","39.1"
"16","Purdue","34","26-8","794","2029","39.1"
"17","Nevada","32","19-13","761","1940","39.2"
"18","California","33","23-10","762","1940","39.3"
"19","South Carolina","32","24-8","728","1844","39.5"
"20","James Madison","32","21-11","742","1874","39.6"
"21","Old Dominion","35","22-13","738","1857","39.7"
"22","Coastal Caro.","29","18-11","688","1730","39.8"
"23","Kansas","34","30-4","784","1970","39.8"
"24","Hawaii","32","27-5","719","1806","39.8"
"25","UT Arlington","33","23-10","751","1886","39.8"
"26","Arkansas St.","31","11-20","791","1982","39.9"
"27","Gonzaga","33","26-7","795","1992","39.9"
"28","SMU","30","25-5","676","1690","40.0"
"","Villanova","34","29-5","764","1910","40.0"
"30","Memphis","34","19-15","825","2062","40.0"
"31","Kentucky","34","26-8","782","1954","40.0"
"32","UC Santa Barbara","31","18-13","693","1730","40.1"
"33","Seton Hall","33","25-8","790","1971","40.1"
"34","Northwestern","32","20-12","716","1784","40.1"
"35","Northern Ill.","33","21-12","733","1825","40.2"
"36","Mercer","33","19-14","764","1892","40.4"
"37","Stony Brook","32","26-6","737","1824","40.4"
"38","Dayton","32","25-7","740","1829","40.5"
"39","Oklahoma","32","25-7","819","2024","40.5"
"40","Evansville","34","25-9","794","1962","40.5"
"41","Ohio St.","33","20-13","787","1943","40.5"
"42","Ball St.","32","19-13","719","1773","40.6"
"43","Texas A&M","34","26-8","783","1930","40.6"
"44","Harvard","30","14-16","699","1721","40.6"
"45","Yale","28","22-6","625","1536","40.7"
"46","Alabama","32","18-14","740","1818","40.7"
"47","Wagner","32","22-10","683","1677","40.7"
"48","FIU","32","13-19","775","1901","40.8"
"49","Maryland","33","25-8","798","1956","40.8"
"50","Seattle","30","14-16","693","1698","40.8"
"51","Florida","33","19-14","790","1931","40.9"
"52","Georgia St.","30","16-14","638","1559","40.9"
"53","North Carolina","34","28-6","838","2046","41.0"
"54","Oklahoma St.","32","12-20","725","1769","41.0"
"55","St. Mary's (CA)","32","27-5","733","1785","41.1"
"56","Rider","33","13-20","767","1862","41.2"
"57","Saint Peter's","30","14-16","693","1682","41.2"
"58","Akron","34","26-8","839","2036","41.2"
"59","Georgetown","33","15-18","758","1839","41.2"
"60","UAB","32","26-6","803","1948","41.2"
"61","La.-Monroe","33","20-13","804","1950","41.2"
"62","BYU","33","23-10","831","2014","41.3"
"63","Navy","33","19-14","707","1713","41.3"
"64","South Fla.","33","8-25","817","1978","41.3"
"65","Arizona","33","25-8","829","2007","41.3"
"66","A&M-Corpus Christi","32","25-7","719","1740","41.3"
"67","Tennessee St.","30","20-10","674","1631","41.3"
"68","Utah","34","26-8","873","2112","41.3"
"69","UC Davis","30","11-19","707","1710","41.3"
"70","Syracuse","32","19-13","759","1835","41.4"
"71","Weber St.","34","26-8","850","2054","41.4"
"72","Idaho","33","21-12","726","1753","41.4"
"73","UNLV","33","18-15","831","2006","41.4"
"74","FGCU","33","20-13","823","1986","41.4"
"75","Siena","33","21-12","821","1981","41.4"
"76","Iowa","31","21-10","788","1901","41.5"
"77","Saint Joseph's","34","27-7","875","2110","41.5"
"78","UCF","30","12-18","799","1925","41.5"
"79","South Dakota St.","32","25-7","745","1794","41.5"
"80","Southern U.","34","22-12","814","1960","41.5"
"81","Quinnipiac","30","9-21","729","1755","41.5"
"82","Indiana St.","32","15-17","745","1793","41.6"
"83","Xavier","32","27-5","787","1894","41.6"
"84","Duquesne","32","16-16","832","2002","41.6"
"85","Tulsa","31","20-11","733","1760","41.6"
"86","Towson","32","20-12","720","1728","41.7"
"","Temple","32","21-11","785","1884","41.7"
"88","Houston","31","22-9","744","1784","41.7"
"89","UNCW","32","25-7","729","1748","41.7"
"90","Southern California","33","21-12","899","2153","41.8"
"91","Fresno St.","34","25-9","785","1879","41.8"
"92","Texas","32","20-12","754","1801","41.9"
"93","Colorado","33","22-11","829","1980","41.9"
"94","Clemson","31","17-14","723","1725","41.9"
"95","New Mexico","32","17-15","807","1919","42.1"
"96","Eastern Mich.","33","18-15","823","1957","42.1"
"97","Albany (NY)","32","24-8","770","1830","42.1"
"98","Illinois St.","32","18-14","734","1744","42.1"
"99","Iona","32","22-10","812","1929","42.1"
"100","Norfolk St.","33","17-16","792","1880","42.1"
"101","William & Mary","31","20-11","798","1894","42.1"
"102","Wright St.","35","22-13","745","1768","42.1"
"103","UNI","34","22-12","794","1884","42.1"
"104","Virginia","33","26-7","687","1630","42.1"
"105","South Ala.","33","14-19","834","1975","42.2"
"106","North Dakota St.","32","20-12","750","1775","42.3"
"107","George Mason","32","11-21","827","1957","42.3"
"108","UNC Asheville","33","22-11","802","1897","42.3"
"109","St. Francis Brooklyn","32","15-17","765","1809","42.3"
"110","Hampton","31","21-10","794","1874","42.4"
"111","Penn St.","32","16-16","739","1744","42.4"
"112","UTEP","33","19-14","853","2013","42.4"
"113","Missouri","31","10-21","759","1791","42.4"
"114","Oregon","34","28-6","836","1970","42.4"
"115","Winthrop","32","23-9","870","2050","42.4"
"116","Col. of Charleston","31","17-14","657","1548","42.4"
"117","Bucknell","30","17-13","746","1757","42.5"
"118","Texas St.","31","15-16","691","1627","42.5"
"119","Niagara","32","7-25","788","1854","42.5"
"120","Pacific","28","8-20","650","1528","42.5"
"121","Howard","32","12-20","844","1984","42.5"
"122","Tennessee","34","15-19","886","2081","42.6"
"123","Grambling","30","7-23","700","1644","42.6"
"124","Middle Tenn.","33","24-9","767","1799","42.6"
"125","Rhode Island","32","17-15","713","1672","42.6"
"126","Texas Tech","31","19-12","758","1777","42.7"
"127","Oregon St.","31","19-12","739","1732","42.7"
"128","Massachusetts","32","14-18","823","1928","42.7"
"129","UC Riverside","33","14-19","796","1863","42.7"
"130","Marquette","33","20-13","886","2073","42.7"
"131","Washington","32","18-14","870","2035","42.8"
"132","Ill.-Chicago","30","5-25","803","1878","42.8"
