"Rank","Name","GM","W-L","FT","FTA"
"1","Green Bay","35","23-12","648","984"
"2","West Virginia","34","26-8","633","945"
"3","Howard","32","12-20","667","914"
"4","Virginia Tech","33","19-14","634","906"
"5","Austin Peay","35","18-17","602","899"
"6","Memphis","34","19-15","643","890"
"7","Washington","32","18-14","624","863"
"8","South Carolina","32","24-8","587","861"
"","Colorado St.","34","18-16","618","861"
"10","LSU","33","19-14","569","856"
"11","Eastern Mich.","33","18-15","616","854"
"12","Arizona","33","25-8","613","848"
"13","Buffalo","34","20-14","600","845"
"14","Evansville","34","25-9","610","843"
"15","North Texas","32","12-20","539","838"
"16","Hawaii","32","27-5","567","833"
"17","Xavier","32","27-5","608","832"
"18","Oakland","32","21-11","638","831"
"19","Houston Baptist","33","17-16","591","826"
"","TCU","33","12-21","554","826"
"21","La.-Lafayette","31","17-14","570","819"
"22","New Orleans","30","10-20","561","817"
"","San Diego St.","34","25-9","562","817"
"24","UNLV","33","18-15","555","815"
"","Florida","33","19-14","524","815"
"26","Monmouth","34","27-7","623","813"
"","Oregon","34","28-6","580","813"
"28","Louisiana Tech","32","23-9","543","812"
"29","Weber St.","34","26-8","548","810"
"","Towson","32","20-12","550","810"
"31","UTEP","33","19-14","539","809"
"32","Hofstra","33","24-9","554","806"
"33","Western Mich.","32","13-19","573","805"
"","Hampton","31","21-10","529","805"
"35","Albany (NY)","32","24-8","601","803"
"36","Nevada","32","19-13","586","801"
"37","Kansas St.","33","17-16","549","798"
"","Samford","33","14-19","573","798"
"39","Omaha","31","18-13","592","797"
"40","Norfolk St.","33","17-16","616","795"
"","UNC Asheville","33","22-11","552","795"
"","Detroit","31","16-15","555","795"
"","Ill.-Chicago","30","5-25","492","795"
"44","Chattanooga","34","29-5","581","793"
"","Fresno St.","34","25-9","549","793"
"46","Siena","33","21-12","573","792"
"","Duke","33","23-10","572","792"
"48","Ole Miss","32","20-12","561","791"
"49","Seton Hall","33","25-8","524","787"
"50","New Mexico","32","17-15","578","783"
"","Georgia","32","19-13","550","783"
"52","Nicholls St.","34","11-23","512","782"
"53","Lamar","30","11-19","524","781"
"54","California","33","23-10","512","780"
"","LIU Brooklyn","31","16-15","557","780"
"56","Colorado","33","22-11","575","779"
"","Wake Forest","31","11-20","514","779"
"58","North Carolina St.","33","16-17","543","777"
"","Kentucky","34","26-8","531","777"
"60","Rice","32","12-20","573","773"
"61","Saint Joseph's","34","27-7","548","769"
"62","Western Ky.","34","18-16","537","768"
"63","Sam Houston St.","34","18-16","535","767"
"64","Arkansas St.","31","11-20","562","766"
"65","Northern Ill.","33","21-12","524","765"
"","Indiana St.","32","15-17","530","765"
"67","Marquette","33","20-13","555","764"
"68","Kansas","34","30-4","538","762"
"69","Bowling Green","34","16-18","499","760"
"70","UT Arlington","33","23-10","527","758"
"71","Winthrop","32","23-9","566","756"
"","Idaho","33","21-12","536","756"
"","George Washington","33","23-10","572","756"
"74","Boise St.","32","20-12","535","755"
"","Texas A&M","34","26-8","508","755"
"76","UMBC","32","7-25","515","754"
"","Bucknell","30","17-13","539","754"
"78","Texas Southern","32","18-14","473","752"
"79","Tennessee Tech","30","19-11","556","749"
"80","Long Beach St.","34","20-14","512","748"
"","Arkansas","32","16-16","519","748"
"","Navy","33","19-14","479","748"
"83","South Ala.","33","14-19","503","747"
"","Auburn","31","11-20","472","747"
"85","Canisius","33","14-19","551","744"
"","Kent St.","32","19-13","508","744"
"","Providence","33","23-10","541","744"
"","South Dakota St.","32","25-7","549","744"
"89","Cal St. Fullerton","30","10-20","515","743"
"","Southern U.","34","22-12","497","743"
"","Stanford","30","15-15","508","743"
"92","Furman","33","18-15","522","742"
"93","Butler","31","21-10","542","741"
"","UNCW","32","25-7","520","741"
"95","ETSU","34","23-11","525","738"
"96","Coppin St.","31","9-22","520","737"
"","Baylor","33","22-11","536","737"
"","Southern California","33","21-12","500","737"
"99","Western Caro.","33","16-17","517","736"
"100","BYU","33","23-10","506","735"
"","CSUN","30","10-20","527","735"
"","Pepperdine","31","18-13","497","735"
"103","Utah","34","26-8","524","734"
"104","North Dakota","32","17-15","499","732"
"","Texas Tech","31","19-12","546","732"
"106","Dayton","32","25-7","491","730"
"107","Ga. Southern","31","14-17","509","728"
"108","Northern Colo.","31","10-21","529","727"
"109","Arizona St.","32","15-17","499","726"
"110","Texas","32","20-12","482","725"
"","Stetson","34","12-22","523","725"
"112","Vanderbilt","32","19-13","504","721"
"","Tennessee","34","15-19","523","721"
"","Florida St.","32","19-13","497","721"
"115","FGCU","33","20-13","466","720"
"116","UTSA","32","5-27","505","719"
"117","Milwaukee","33","20-13","554","718"
"","Southern Ill.","32","22-10","492","718"
"119","Tulsa","31","20-11","486","717"
"120","South Carolina St.","34","19-15","514","716"
"121","St. John's (NY)","32","8-24","454","714"
"122","Troy","31","9-22","457","713"
"","Missouri St.","32","13-19","481","713"
"124","CSU Bakersfield","32","24-8","465","712"
"","Creighton","32","18-14","500","712"
"126","Tennessee St.","30","20-10","495","711"
"127","Wyoming","31","13-18","508","710"
"","Wichita St.","32","24-8","507","710"
"129","San Francisco","30","15-15","480","708"
"","A&M-Corpus Christi","32","25-7","522","708"
"131","Air Force","32","14-18","483","707"
"132","The Citadel","32","10-22","514","705"
"","North Carolina","34","28-6","520","705"
"134","Georgetown","33","15-18","529","704"
"","Northeastern","33","18-15","504","704"
"136","Miami (FL)","32","25-7","527","702"
"","UC Irvine","34","25-9","480","702"
"138","Delaware","30","7-23","480","701"
"","Gardner-Webb","33","17-16","458","701"
"","San Jose St.","31","9-22","462","701"
"","Appalachian St.","31","9-22","493","701"
"142","Eastern Ky.","31","15-16","511","700"
"","Idaho St.","31","16-15","509","700"
"144","Alabama","32","18-14","446","697"
"","N.C. Central","32","13-19","462","697"
"146","Lipscomb","33","12-21","483","695"
"","Sacred Heart","30","12-18","478","695"
"","Purdue","34","26-8","516","695"
"149","Central Ark.","28","7-21","457","694"
"","Massachusetts","32","14-18","485","694"
"","Wisconsin","32","20-12","491","694"
"","Southeastern La.","33","12-21","441","694"
"153","Florida A&M","29","8-21","407","691"
"","New Mexico St.","33","23-10","467","691"
"155","Campbell","30","12-18","495","690"
"156","Ohio","32","21-11","517","689"
"","Middle Tenn.","33","24-9","425","689"
"","Vermont","34","21-13","486","689"
"159","Eastern Wash.","32","17-15","469","688"
"","Missouri","31","10-21","487","688"
"161","Charlotte","33","14-19","478","685"
"162","VCU","34","24-10","472","684"
"163","Grambling","30","7-23","440","683"
"164","James Madison","32","21-11","467","682"
"165","Marshall","33","17-16","472","681"
"","Valparaiso","32","26-6","493","681"
"167","Pittsburgh","32","21-11","512","679"
"","Ohio St.","33","20-13","456","679"
"169","Gonzaga","33","26-7","514","676"
"","Alcorn","30","15-15","458","676"
"171","N.C. A&T","32","10-22","480","675"
"172","Oregon St.","31","19-12","451","672"
"","Morgan St.","31","9-22","460","672"
"174","UT Martin","33","19-14","476","671"
"175","UC Riverside","33","14-19","471","669"
"176","Mercer","33","19-14","485","668"
"177","St. Bonaventure","30","22-8","515","667"
"178","Maryland","33","25-8","506","666"
"179","Columbia","31","21-10","473","665"
"","Oral Roberts","31","14-17","498","665"
"181","Villanova","34","29-5","516","664"
"","New Hampshire","31","19-12","478","664"
"183","Minnesota","31","8-23","469","663"
"","UMKC","31","12-19","447","663"
"185","High Point","31","21-10","506","662"
"","Saint Francis (PA)","30","13-17","460","662"
"","Rhode Island","32","17-15","443","662"
"188","IPFW","33","24-9","473","660"
"189","Savannah St.","31","16-15","431","659"
"190","Texas St.","31","15-16","443","658"
"191","Yale","28","22-6","436","657"
"","Morehead St.","31","19-12","455","657"
"193","Manhattan","31","13-18","485","655"
"","Toledo","32","17-15","489","655"
"195","Jackson St.","35","20-15","414","654"
"","Oklahoma St.","32","12-20","477","654"
"197","Saint Louis","32","11-21","459","653"
"","Loyola Maryland","30","9-21","465","653"
"","SFA","32","27-5","477","653"
"200","St. Francis Brooklyn","32","15-17","435","652"
"201","Montana","32","21-11","452","651"
"","UCLA","32","15-17","450","651"
"","Richmond","32","16-16","430","651"
"204","Davidson","32","20-12","494","650"
"","Houston","31","22-9","457","650"
"","George Mason","32","11-21","436","650"
"207","Boston U.","32","18-14","464","649"
"208","UMES","32","10-22","459","648"
"","Old Dominion","35","22-13","440","648"
"210","Army West Point","32","19-13","450","647"
"","Oklahoma","32","25-7","471","647"
"212","Miami (OH)","33","13-20","471","646"
"213","Wofford","32","15-17","484","645"
"","Portland St.","31","13-18","425","645"
"","Cincinnati","32","22-10","454","645"
"","Fairleigh Dickinson","32","18-14","451","645"
"","FIU","32","13-19","428","645"
"218","Holy Cross","33","14-19","446","644"
"","Nebraska","34","16-18","470","644"
"220","Alabama A&M","29","11-18","439","642"
"221","Georgia Tech","33","19-14","461","641"
"222","Jacksonville","32","16-16","434","640"
"","Rutgers","32","7-25","435","640"
"224","Akron","34","26-8","443","639"
"225","Mississippi Val.","34","7-27","436","638"
"","Rider","33","13-20","435","638"
"227","UAB","32","26-6","457","637"
"","Syracuse","32","19-13","435","637"
"229","La.-Monroe","33","20-13","444","636"
"","Longwood","33","10-23","450","636"
"","William & Mary","31","20-11","457","636"
"232","Iowa","31","21-10","456","634"
"","Drexel","31","6-25","434","634"
"234","Portland","32","12-20","458","633"
"","Iona","32","22-10","451","633"
"","Robert Morris","32","10-22","422","633"
"237","Belmont","31","20-11","454","630"
"","Fairfield","32","19-13","463","630"
"","Prairie View","31","7-24","432","630"
"240","Wagner","32","22-10","448","629"
"","McNeese St.","29","9-20","440","629"
"","Bradley","32","5-27","416","629"
"243","Utah Valley","30","12-18","454","628"
"244","Sacramento St.","31","14-17","421","627"
"245","NJIT","31","17-14","465","626"
"","Duquesne","32","16-16","429","626"
"","Cal Poly","30","10-20","423","626"
"248","Kennesaw St.","31","11-20","438","625"
"249","Fla. Atlantic","33","8-25","456","624"
"250","Alabama St.","31","14-17","426","623"
"","Northwestern St.","28","8-20","477","623"
"252","Penn St.","32","16-16","432","621"
"","Indiana","32","25-7","449","621"
"","Wright St.","35","22-13","431","621"
"","Tulane","34","12-22","420","621"
"256","East Carolina","32","12-20","432","620"
"","Niagara","32","7-25","431","620"
"258","Northern Ariz.","30","5-25","436","619"
"","Youngstown St.","32","11-21","440","619"
"","Hartford","33","10-23","463","619"
"","Coastal Caro.","29","18-11","413","619"
"","UCF","30","12-18","425","619"
"263","DePaul","31","9-22","420","618"
"","Stony Brook","32","26-6","415","618"
"265","Marist","30","7-23","451","615"
"","Presbyterian","31","11-20","437","615"
"267","Ball St.","32","19-13","422","613"
"","Murray St.","31","17-14","444","613"
"269","Notre Dame","32","21-11","450","612"
"","Southeast Mo. St.","29","5-24","392","612"
"","South Fla.","33","8-25","404","612"
"272","Maine","30","8-22","401","611"
"","North Florida","33","22-11","443","611"
"274","Michigan St.","34","29-5","444","608"
"275","Illinois","34","15-19","453","607"
"","IUPUI","32","13-19","428","607"
"277","North Dakota St.","32","20-12","410","604"
"278","Dartmouth","28","10-18","436","603"
"279","Mt. St. Mary's","33","14-19","416","601"
"280","Central Mich.","32","17-15","431","600"
"","Brown","28","8-20","421","600"
"282","Elon","32","16-16","396","599"
"283","Montana St.","31","14-17","410","598"
"","Southern Utah","29","5-24","426","598"
"","Georgia St.","30","16-14","412","598"
"286","Bethune-Cookman","32","14-18","411","597"
"","Utah St.","31","16-15","413","597"
"288","South Dakota","32","14-18","418","596"
"289","USC Upstate","32","10-22","377","592"
"","Santa Clara","31","11-20","425","592"
"291","Louisville","31","23-8","406","588"
"","Illinois St.","32","18-14","393","588"
"","Eastern Ill.","30","13-17","385","588"
