"Rank","Name","GM","W-L","FT","FTA"
"1","Howard","32","12-20","667","914"
"2","Green Bay","35","23-12","648","984"
"3","Memphis","34","19-15","643","890"
"4","Oakland","32","21-11","638","831"
"5","Virginia Tech","33","19-14","634","906"
"6","West Virginia","34","26-8","633","945"
"7","Washington","32","18-14","624","863"
"8","Monmouth","34","27-7","623","813"
"9","Colorado St.","34","18-16","618","861"
"10","Eastern Mich.","33","18-15","616","854"
"","Norfolk St.","33","17-16","616","795"
"12","Arizona","33","25-8","613","848"
"13","Evansville","34","25-9","610","843"
"14","Xavier","32","27-5","608","832"
"15","Austin Peay","35","18-17","602","899"
"16","Albany (NY)","32","24-8","601","803"
"17","Buffalo","34","20-14","600","845"
"18","Omaha","31","18-13","592","797"
"19","Houston Baptist","33","17-16","591","826"
"20","South Carolina","32","24-8","587","861"
"21","Nevada","32","19-13","586","801"
"22","Chattanooga","34","29-5","581","793"
"23","Oregon","34","28-6","580","813"
"24","New Mexico","32","17-15","578","783"
"25","Colorado","33","22-11","575","779"
"26","Rice","32","12-20","573","773"
"","Western Mich.","32","13-19","573","805"
"","Siena","33","21-12","573","792"
"","Samford","33","14-19","573","798"
"30","George Washington","33","23-10","572","756"
"","Duke","33","23-10","572","792"
"32","La.-Lafayette","31","17-14","570","819"
"33","LSU","33","19-14","569","856"
"34","Hawaii","32","27-5","567","833"
"35","Winthrop","32","23-9","566","756"
"36","Arkansas St.","31","11-20","562","766"
"","San Diego St.","34","25-9","562","817"
"38","New Orleans","30","10-20","561","817"
"","Ole Miss","32","20-12","561","791"
"40","LIU Brooklyn","31","16-15","557","780"
"41","Tennessee Tech","30","19-11","556","749"
"42","Detroit","31","16-15","555","795"
"","UNLV","33","18-15","555","815"
"","Marquette","33","20-13","555","764"
"45","TCU","33","12-21","554","826"
"","Hofstra","33","24-9","554","806"
"","Milwaukee","33","20-13","554","718"
"48","UNC Asheville","33","22-11","552","795"
"49","Canisius","33","14-19","551","744"
"50","Georgia","32","19-13","550","783"
"","Towson","32","20-12","550","810"
"52","South Dakota St.","32","25-7","549","744"
"","Kansas St.","33","17-16","549","798"
"","Fresno St.","34","25-9","549","793"
"55","Weber St.","34","26-8","548","810"
"","Saint Joseph's","34","27-7","548","769"
"57","Texas Tech","31","19-12","546","732"
"58","North Carolina St.","33","16-17","543","777"
"","Louisiana Tech","32","23-9","543","812"
"60","Butler","31","21-10","542","741"
"61","Providence","33","23-10","541","744"
"62","UTEP","33","19-14","539","809"
"","North Texas","32","12-20","539","838"
"","Bucknell","30","17-13","539","754"
"65","Kansas","34","30-4","538","762"
"66","Western Ky.","34","18-16","537","768"
"67","Idaho","33","21-12","536","756"
"","Baylor","33","22-11","536","737"
"69","Boise St.","32","20-12","535","755"
"","Sam Houston St.","34","18-16","535","767"
"71","Kentucky","34","26-8","531","777"
"72","Indiana St.","32","15-17","530","765"
"73","Georgetown","33","15-18","529","704"
"","Northern Colo.","31","10-21","529","727"
"","Hampton","31","21-10","529","805"
"76","UT Arlington","33","23-10","527","758"
"","Miami (FL)","32","25-7","527","702"
"","CSUN","30","10-20","527","735"
"79","ETSU","34","23-11","525","738"
"80","Seton Hall","33","25-8","524","787"
"","Utah","34","26-8","524","734"
"","Northern Ill.","33","21-12","524","765"
"","Lamar","30","11-19","524","781"
"","Florida","33","19-14","524","815"
"85","Tennessee","34","15-19","523","721"
"","Stetson","34","12-22","523","725"
"87","Furman","33","18-15","522","742"
"","A&M-Corpus Christi","32","25-7","522","708"
"89","Coppin St.","31","9-22","520","737"
"","UNCW","32","25-7","520","741"
"","North Carolina","34","28-6","520","705"
"92","Arkansas","32","16-16","519","748"
"93","Ohio","32","21-11","517","689"
"","Western Caro.","33","16-17","517","736"
"95","Purdue","34","26-8","516","695"
"","Villanova","34","29-5","516","664"
"97","St. Bonaventure","30","22-8","515","667"
"","UMBC","32","7-25","515","754"
"","Cal St. Fullerton","30","10-20","515","743"
"100","South Carolina St.","34","19-15","514","716"
"","Gonzaga","33","26-7","514","676"
"","Wake Forest","31","11-20","514","779"
"","The Citadel","32","10-22","514","705"
"104","Long Beach St.","34","20-14","512","748"
"","Nicholls St.","34","11-23","512","782"
"","California","33","23-10","512","780"
"","Pittsburgh","32","21-11","512","679"
"108","Eastern Ky.","31","15-16","511","700"
"109","Idaho St.","31","16-15","509","700"
"","Ga. Southern","31","14-17","509","728"
"111","Texas A&M","34","26-8","508","755"
"","Kent St.","32","19-13","508","744"
"","Stanford","30","15-15","508","743"
"","Wyoming","31","13-18","508","710"
"115","Wichita St.","32","24-8","507","710"
"116","BYU","33","23-10","506","735"
"","High Point","31","21-10","506","662"
"","Maryland","33","25-8","506","666"
"119","UTSA","32","5-27","505","719"
"120","Vanderbilt","32","19-13","504","721"
"","Northeastern","33","18-15","504","704"
"122","South Ala.","33","14-19","503","747"
"123","Southern California","33","21-12","500","737"
"","Creighton","32","18-14","500","712"
"125","North Dakota","32","17-15","499","732"
"","Bowling Green","34","16-18","499","760"
"","Arizona St.","32","15-17","499","726"
"128","Oral Roberts","31","14-17","498","665"
"129","Southern U.","34","22-12","497","743"
"","Florida St.","32","19-13","497","721"
"","Pepperdine","31","18-13","497","735"
"132","Campbell","30","12-18","495","690"
"","Tennessee St.","30","20-10","495","711"
"134","Davidson","32","20-12","494","650"
"135","Appalachian St.","31","9-22","493","701"
"","Valparaiso","32","26-6","493","681"
"137","Ill.-Chicago","30","5-25","492","795"
"","Southern Ill.","32","22-10","492","718"
"139","Dayton","32","25-7","491","730"
"","Wisconsin","32","20-12","491","694"
"141","Toledo","32","17-15","489","655"
"142","Missouri","31","10-21","487","688"
"143","Vermont","34","21-13","486","689"
"","Tulsa","31","20-11","486","717"
"145","Manhattan","31","13-18","485","655"
"","Mercer","33","19-14","485","668"
"","Massachusetts","32","14-18","485","694"
"148","Wofford","32","15-17","484","645"
"149","Lipscomb","33","12-21","483","695"
"","Air Force","32","14-18","483","707"
"151","Texas","32","20-12","482","725"
"152","Missouri St.","32","13-19","481","713"
"153","N.C. A&T","32","10-22","480","675"
"","Delaware","30","7-23","480","701"
"","UC Irvine","34","25-9","480","702"
"","San Francisco","30","15-15","480","708"
"157","Navy","33","19-14","479","748"
"158","Charlotte","33","14-19","478","685"
"","Sacred Heart","30","12-18","478","695"
"","New Hampshire","31","19-12","478","664"
"161","SFA","32","27-5","477","653"
"","Oklahoma St.","32","12-20","477","654"
"","Northwestern St.","28","8-20","477","623"
"164","UT Martin","33","19-14","476","671"
"165","Texas Southern","32","18-14","473","752"
"","IPFW","33","24-9","473","660"
"","Columbia","31","21-10","473","665"
"168","VCU","34","24-10","472","684"
"","Auburn","31","11-20","472","747"
"","Marshall","33","17-16","472","681"
"171","Miami (OH)","33","13-20","471","646"
"","UC Riverside","33","14-19","471","669"
"","Oklahoma","32","25-7","471","647"
"174","Nebraska","34","16-18","470","644"
"175","Eastern Wash.","32","17-15","469","688"
"","Minnesota","31","8-23","469","663"
"177","New Mexico St.","33","23-10","467","691"
"","James Madison","32","21-11","467","682"
"179","FGCU","33","20-13","466","720"
"180","Loyola Maryland","30","9-21","465","653"
"","CSU Bakersfield","32","24-8","465","712"
"","NJIT","31","17-14","465","626"
"183","Boston U.","32","18-14","464","649"
"184","Hartford","33","10-23","463","619"
"","Fairfield","32","19-13","463","630"
"186","N.C. Central","32","13-19","462","697"
"","San Jose St.","31","9-22","462","701"
"188","Georgia Tech","33","19-14","461","641"
"189","Saint Francis (PA)","30","13-17","460","662"
"","Morgan St.","31","9-22","460","672"
"191","Saint Louis","32","11-21","459","653"
"","UMES","32","10-22","459","648"
"193","Gardner-Webb","33","17-16","458","701"
"","Alcorn","30","15-15","458","676"
"","Portland","32","12-20","458","633"
"196","Troy","31","9-22","457","713"
"","William & Mary","31","20-11","457","636"
"","Houston","31","22-9","457","650"
"","UAB","32","26-6","457","637"
"","UConn","34","24-10","457","581"
"","Central Ark.","28","7-21","457","694"
