"Rank","Name","GM","W-L","ORebs","RPG"
"1","Quinnipiac","30","9-21","498","16.60"
"2","West Virginia","34","26-8","541","15.91"
"3","UT Arlington","33","23-10","494","14.97"
"4","Morehead St.","31","19-12","457","14.74"
"5","Towson","32","20-12","461","14.41"
"6","La.-Lafayette","31","17-14","444","14.32"
"7","South Carolina","32","24-8","457","14.28"
"8","Hampton","31","21-10","438","14.13"
"9","New Orleans","30","10-20","422","14.07"
"10","North Carolina","34","28-6","477","14.03"
"11","Wagner","32","22-10","448","14.00"
"12","North Carolina St.","33","16-17","457","13.85"
"13","Lamar","30","11-19","415","13.83"
"14","Washington","32","18-14","442","13.81"
"15","Baylor","33","22-11","453","13.73"
"16","Siena","33","21-12","449","13.61"
"17","Yale","28","22-6","379","13.54"
"18","Ill.-Chicago","30","5-25","406","13.53"
"19","Cincinnati","32","22-10","432","13.50"
"20","Louisville","31","23-8","415","13.39"
"21","Jackson St.","35","20-15","466","13.31"
"22","Old Dominion","35","22-13","465","13.29"
"23","Ole Miss","32","20-12","424","13.25"
"24","Kansas St.","33","17-16","437","13.24"
"","Colorado","33","22-11","437","13.24"
"","Georgia Tech","33","19-14","437","13.24"
"27","SMU","30","25-5","396","13.20"
"28","Gardner-Webb","33","17-16","435","13.18"
"29","Radford","31","16-15","408","13.16"
"30","Florida","33","19-14","434","13.15"
"31","Coppin St.","31","9-22","406","13.10"
"32","George Mason","32","11-21","419","13.09"
"33","Xavier","32","27-5","418","13.06"
"34","Valparaiso","32","26-6","417","13.03"
"","USC Upstate","32","10-22","417","13.03"
"36","Kentucky","34","26-8","442","13.00"
"","Colorado St.","34","18-16","442","13.00"
"38","Houston","31","22-9","402","12.97"
"39","Chicago St.","32","4-28","414","12.94"
"40","San Francisco","30","15-15","388","12.93"
"41","Green Bay","35","23-12","451","12.89"
"42","Seton Hall","33","25-8","425","12.88"
"43","Memphis","34","19-15","436","12.82"
"","Texas A&M","34","26-8","436","12.82"
"45","Mercer","33","19-14","423","12.82"
"46","Pittsburgh","32","21-11","410","12.81"
"47","Alcorn","30","15-15","384","12.80"
"48","Bethune-Cookman","32","14-18","407","12.72"
"49","Montana St.","31","14-17","394","12.71"
"50","Appalachian St.","31","9-22","393","12.68"
"51","Kent St.","32","19-13","405","12.66"
"52","The Citadel","32","10-22","404","12.63"
"53","Alabama St.","31","14-17","391","12.61"
