"Rank","Name","GM","W-L","Fouls","PFPG","DQ"
"1","Texas Southern","32","18-14","483","15.1","13"
"2","UNI","34","22-12","515","15.1","11"
"3","Utah","34","26-8","526","15.5","5"
"4","Notre Dame","32","21-11","496","15.5","4"
"5","Iowa St.","32","21-11","497","15.5","12"
"6","Michigan","34","22-12","530","15.6","3"
"7","UCF","30","12-18","468","15.6","7"
"8","St. Mary's (CA)","32","27-5","500","15.6","7"
"","Cincinnati","32","22-10","500","15.6","6"
"10","SMU","30","25-5","472","15.7","10"
"11","New Mexico St.","33","23-10","521","15.8","5"
"12","North Dakota St.","32","20-12","507","15.8","8"
"13","Stony Brook","32","26-6","509","15.9","7"
"14","Hofstra","33","24-9","525","15.9","11"
"15","Saint Joseph's","34","27-7","545","16.0","9"
"16","Temple","32","21-11","516","16.1","4"
"17","Iowa","31","21-10","504","16.3","5"
"18","North Florida","33","22-11","538","16.3","16"
"19","Virginia","33","26-7","540","16.4","7"
"20","George Washington","33","23-10","542","16.4","7"
"21","William & Mary","31","20-11","512","16.5","10"
"","Clemson","31","17-14","512","16.5","8"
"23","Northeastern","33","18-15","546","16.5","9"
"24","Miami (FL)","32","25-7","530","16.6","6"
"","Syracuse","32","19-13","530","16.6","12"
"26","Maryland","33","25-8","548","16.6","6"
"27","Duke","33","23-10","549","16.6","15"
"28","East Carolina","32","12-20","536","16.8","8"
"29","Oklahoma","32","25-7","538","16.8","5"
"30","Holy Cross","33","14-19","555","16.8","8"
"31","North Carolina St.","33","16-17","558","16.9","14"
"","Providence","33","23-10","558","16.9","9"
"33","Wisconsin","32","20-12","542","16.9","8"
"34","Chattanooga","34","29-5","577","17.0","6"
"35","Milwaukee","33","20-13","562","17.0","5"
"36","Princeton","28","22-6","478","17.1","3"
"37","Davidson","32","20-12","548","17.1","20"
"38","Lehigh","32","17-15","549","17.2","8"
"39","Saint Francis (PA)","30","13-17","515","17.2","7"
"40","Purdue","34","26-8","584","17.2","2"
"41","Illinois","34","15-19","586","17.2","6"
"42","Toledo","32","17-15","552","17.3","7"
"43","Robert Morris","32","10-22","553","17.3","13"
"44","San Diego St.","34","25-9","590","17.4","13"
"45","IPFW","33","24-9","573","17.4","10"
"46","La Salle","31","9-22","539","17.4","17"
"47","Mercer","33","19-14","574","17.4","8"
"48","Central Conn. St.","29","4-25","505","17.4","8"
"49","UNC Asheville","33","22-11","575","17.4","13"
"50","Austin Peay","35","18-17","610","17.4","12"
"51","Southern California","33","21-12","576","17.5","14"
"52","Gonzaga","33","26-7","577","17.5","9"
"53","Villanova","34","29-5","596","17.5","11"
"54","Albany (NY)","32","24-8","561","17.5","13"
"55","Rutgers","32","7-25","562","17.6","10"
"","Rice","32","12-20","562","17.6","14"
"57","High Point","31","21-10","545","17.6","6"
"58","Weber St.","34","26-8","598","17.6","4"
"59","Saint Peter's","30","14-16","528","17.6","11"
"60","Utah St.","31","16-15","546","17.6","10"
"61","Coastal Caro.","29","18-11","511","17.6","14"
"62","Pittsburgh","32","21-11","564","17.6","4"
"63","UT Martin","33","19-14","582","17.6","9"
"64","Evansville","34","25-9","601","17.7","7"
"65","La.-Monroe","33","20-13","584","17.7","14"
"66","Tulsa","31","20-11","549","17.7","10"
"67","Yale","28","22-6","496","17.7","11"
"68","Southeast Mo. St.","29","5-24","514","17.7","12"
"69","Ohio St.","33","20-13","585","17.7","11"
"70","UC Davis","30","11-19","532","17.7","15"
"71","Akron","34","26-8","603","17.7","11"
"72","UAB","32","26-6","568","17.8","8"
"73","Rider","33","13-20","587","17.8","10"
"74","New Hampshire","31","19-12","552","17.8","16"
"75","Charlotte","33","14-19","588","17.8","9"
"","South Fla.","33","8-25","588","17.8","9"
"77","Youngstown St.","32","11-21","571","17.8","18"
"78","Oregon","34","28-6","607","17.9","11"
"79","UTRGV","30","8-22","536","17.9","13"
"80","George Mason","32","11-21","572","17.9","13"
"81","Delaware","30","7-23","537","17.9","15"
"82","North Carolina","34","28-6","609","17.9","4"
"83","Harvard","30","14-16","538","17.9","9"
"84","Western Ky.","34","18-16","611","18.0","16"
"85","Furman","33","18-15","594","18.0","4"
"","Georgia Tech","33","19-14","594","18.0","8"
"","UConn","34","24-10","612","18.0","7"
"88","Drake","31","7-24","559","18.0","6"
"89","Stetson","34","12-22","614","18.1","14"
"90","Louisiana Tech","32","23-9","578","18.1","17"
"91","Texas A&M","34","26-8","615","18.1","7"
"92","Boston College","32","7-25","579","18.1","12"
"93","Seattle","30","14-16","543","18.1","18"
"94","Kent St.","32","19-13","581","18.2","9"
"95","Indiana","32","25-7","582","18.2","7"
"96","Oral Roberts","31","14-17","564","18.2","20"
"97","Little Rock","33","29-4","601","18.2","4"
"","Arizona","33","25-8","601","18.2","11"
"99","Loyola Chicago","32","15-17","584","18.3","15"
"100","Minnesota","31","8-23","566","18.3","13"
"101","Alcorn","30","15-15","548","18.3","14"
"102","American","31","12-19","567","18.3","10"
"103","Old Dominion","35","22-13","642","18.3","10"
"104","Penn","28","11-17","514","18.4","10"
"105","Ohio","32","21-11","590","18.4","15"
"106","UC Irvine","34","25-9","628","18.5","7"
"107","Morgan St.","31","9-22","573","18.5","13"
"","Texas Tech","31","19-12","573","18.5","4"
"109","LSU","33","19-14","610","18.5","18"
"110","Jacksonville","32","16-16","592","18.5","15"
"111","Central Mich.","32","17-15","594","18.6","10"
"112","Texas St.","31","15-16","576","18.6","17"
"113","Binghamton","30","8-22","558","18.6","19"
"114","UCLA","32","15-17","596","18.6","18"
"115","Pepperdine","31","18-13","578","18.6","9"
"116","Colorado","33","22-11","616","18.7","9"
"","Seton Hall","33","25-8","616","18.7","16"
"118","Radford","31","16-15","580","18.7","9"
"119","FIU","32","13-19","599","18.7","18"
"120","Southern Miss.","29","8-21","543","18.7","19"
"121","Wyoming","31","13-18","581","18.7","11"
"122","Miami (OH)","33","13-20","619","18.8","7"
"123","Troy","31","9-22","582","18.8","18"
"124","St. Francis Brooklyn","32","15-17","601","18.8","11"
"","Bethune-Cookman","32","14-18","601","18.8","21"
"126","Northern Ariz.","30","5-25","564","18.8","9"
"127","Marquette","33","20-13","621","18.8","14"
"128","Winthrop","32","23-9","603","18.8","14"
"129","Kansas","34","30-4","641","18.9","9"
"130","Longwood","33","10-23","623","18.9","16"
"131","Northwestern","32","20-12","605","18.9","14"
"132","BYU","33","23-10","624","18.9","12"
"133","Idaho St.","31","16-15","587","18.9","12"
"134","Ball St.","32","19-13","606","18.9","16"
"135","Elon","32","16-16","607","19.0","9"
"136","Rhode Island","32","17-15","608","19.0","20"
"137","Wofford","32","15-17","609","19.0","13"
"","Creighton","32","18-14","609","19.0","15"
"139","Portland St.","31","13-18","590","19.0","14"
"140","Lipscomb","33","12-21","629","19.1","12"
"141","Richmond","32","16-16","610","19.1","14"
"","Dayton","32","25-7","610","19.1","15"
"","Army West Point","32","19-13","610","19.1","9"
"144","Michigan St.","34","29-5","649","19.1","8"
"","Tulane","34","12-22","649","19.1","10"
"146","Boston U.","32","18-14","611","19.1","17"
"147","Columbia","31","21-10","592","19.1","12"
"","Bryant","31","8-23","592","19.1","16"
"149","Fla. Atlantic","33","8-25","631","19.1","20"
"","Houston Baptist","33","17-16","631","19.1","11"
"151","James Madison","32","21-11","612","19.1","19"
"","Vanderbilt","32","19-13","612","19.1","22"
"153","Fairfield","32","19-13","613","19.2","15"
"154","La.-Lafayette","31","17-14","594","19.2","11"
"155","Oakland","32","21-11","614","19.2","14"
"156","Denver","31","16-15","595","19.2","9"
"","Presbyterian","31","11-20","595","19.2","12"
"158","Charleston So.","30","9-21","576","19.2","18"
"159","Virginia Tech","33","19-14","634","19.2","12"
"160","Houston","31","22-9","596","19.2","12"
"161","Mississippi Val.","34","7-27","654","19.2","13"
"162","Mississippi St.","31","14-17","597","19.3","20"
"","Louisville","31","23-8","597","19.3","10"
"164","Bowling Green","34","16-18","655","19.3","6"
"165","Baylor","33","22-11","636","19.3","16"
"166","Air Force","32","14-18","617","19.3","15"
"167","South Carolina St.","34","19-15","656","19.3","10"
"168","Georgia St.","30","16-14","579","19.3","19"
"169","FGCU","33","20-13","637","19.3","10"
"170","Alabama","32","18-14","618","19.3","23"
"171","Nebraska","34","16-18","657","19.3","11"
"172","Marshall","33","17-16","638","19.3","25"
"173","Colorado St.","34","18-16","658","19.4","16"
"174","Campbell","30","12-18","581","19.4","11"
"175","Alabama A&M","29","11-18","562","19.4","6"
"176","Vermont","34","21-13","659","19.4","20"
"177","Brown","28","8-20","543","19.4","10"
"178","Southern U.","34","22-12","660","19.4","13"
"179","Missouri St.","32","13-19","622","19.4","9"
"","Iona","32","22-10","622","19.4","15"
"","Boise St.","32","20-12","622","19.4","20"
"182","Tennessee Tech","30","19-11","584","19.5","25"
"","Colgate","30","13-17","584","19.5","10"
"","Eastern Ill.","30","13-17","584","19.5","18"
"185","Florida St.","32","19-13","623","19.5","11"
"","USC Upstate","32","10-22","623","19.5","17"
"187","Tennessee","34","15-19","662","19.5","10"
"188","Illinois St.","32","18-14","624","19.5","20"
"189","Canisius","33","14-19","644","19.5","9"
"190","Kennesaw St.","31","11-20","605","19.5","17"
"191","Florida A&M","29","8-21","566","19.5","13"
"192","VMI","30","9-21","586","19.5","12"
"193","VCU","34","24-10","665","19.6","13"
"194","Niagara","32","7-25","626","19.6","11"
"195","St. Bonaventure","30","22-8","587","19.6","16"
"","Marist","30","7-23","587","19.6","17"
"197","Lafayette","30","6-24","588","19.6","13"
"198","Florida","33","19-14","647","19.6","11"
"199","Eastern Wash.","32","17-15","628","19.6","14"
"200","Navy","33","19-14","648","19.6","14"
"201","NJIT","31","17-14","611","19.7","10"
"","Jacksonville St.","31","8-23","611","19.7","18"
"203","Grambling","30","7-23","592","19.7","9"
"204","Santa Clara","31","11-20","613","19.8","18"
"205","Western Mich.","32","13-19","633","19.8","17"
"206","Fordham","30","17-13","594","19.8","13"
"207","Washington St.","31","9-22","614","19.8","7"
"","UC Santa Barbara","31","18-13","614","19.8","13"
"209","Delaware St.","32","7-25","635","19.8","14"
"","Howard","32","12-20","635","19.8","20"
"","N.C. Central","32","13-19","635","19.8","22"
"212","Mt. St. Mary's","33","14-19","655","19.8","13"
"","UC Riverside","33","14-19","655","19.8","13"
"214","Arkansas St.","31","11-20","616","19.9","17"
"215","Ole Miss","32","20-12","636","19.9","15"
"","South Dakota St.","32","25-7","636","19.9","15"
"217","Butler","31","21-10","617","19.9","18"
"","Belmont","31","20-11","617","19.9","14"
"219","Oklahoma St.","32","12-20","637","19.9","23"
"220","Murray St.","31","17-14","618","19.9","16"
"221","Liberty","32","13-19","638","19.9","15"
"","Duquesne","32","16-16","638","19.9","15"
"223","Kansas St.","33","17-16","659","20.0","9"
"224","Col. of Charleston","31","17-14","620","20.0","12"
"","Valparaiso","32","26-6","640","20.0","18"
"","Stanford","30","15-15","600","20.0","20"
"","UMBC","32","7-25","640","20.0","21"
"228","Green Bay","35","23-12","701","20.0","15"
"229","Memphis","34","19-15","681","20.0","17"
"230","UNCG","32","14-18","641","20.0","15"
"231","Savannah St.","31","16-15","621","20.0","6"
"232","Northwestern St.","28","8-20","561","20.0","10"
"233","Cornell","28","10-18","562","20.1","12"
"234","Cal Poly","30","10-20","603","20.1","11"
"235","McNeese St.","29","9-20","583","20.1","13"
"236","Oregon St.","31","19-12","624","20.1","8"
"237","South Ala.","33","14-19","665","20.2","21"
"238","CSUN","30","10-20","605","20.2","23"
"239","Wichita St.","32","24-8","646","20.2","8"
"","Saint Louis","32","11-21","646","20.2","11"
"","South Carolina","32","24-8","646","20.2","8"
"","Xavier","32","27-5","646","20.2","13"
"243","ETSU","34","23-11","687","20.2","14"
"244","Northern Ill.","33","21-12","667","20.2","8"
"","Gardner-Webb","33","17-16","667","20.2","20"
"246","Penn St.","32","16-16","647","20.2","16"
"247","Omaha","31","18-13","627","20.2","12"
"248","Hawaii","32","27-5","648","20.3","15"
"249","Nicholls St.","34","11-23","689","20.3","13"
"250","Dartmouth","28","10-18","569","20.3","9"
"251","IUPUI","32","13-19","651","20.3","19"
"252","Loyola Marymount","31","14-17","631","20.4","16"
"","Sacramento St.","31","14-17","631","20.4","25"
"254","Cal St. Fullerton","30","10-20","611","20.4","13"
"255","UTEP","33","19-14","673","20.4","22"
"256","Towson","32","20-12","653","20.4","13"
"257","Middle Tenn.","33","24-9","674","20.4","13"
"258","Quinnipiac","30","9-21","613","20.4","14"
"259","Arizona St.","32","15-17","654","20.4","14"
"260","Long Beach St.","34","20-14","695","20.4","21"
"261","Eastern Mich.","33","18-15","675","20.5","28"
"262","Kentucky","34","26-8","696","20.5","28"
"263","TCU","33","12-21","677","20.5","16"
"","Western Caro.","33","16-17","677","20.5","26"
"265","Central Ark.","28","7-21","575","20.5","24"
"266","Missouri","31","10-21","637","20.5","15"
"267","Western Ill.","27","10-17","555","20.6","13"
"268","Hampton","31","21-10","638","20.6","9"
"269","New Mexico","32","17-15","659","20.6","13"
"270","SFA","32","27-5","660","20.6","13"
"271","California","33","23-10","682","20.7","22"
"272","South Dakota","32","14-18","662","20.7","21"
"273","San Francisco","30","15-15","621","20.7","25"
"274","Tennessee St.","30","20-10","622","20.7","19"
"275","Texas","32","20-12","664","20.8","12"
"276","Southern Utah","29","5-24","602","20.8","14"
"277","Sacred Heart","30","12-18","625","20.8","20"
"278","Southeastern La.","33","12-21","688","20.8","24"
"279","Massachusetts","32","14-18","668","20.9","25"
"280","Utah Valley","30","12-18","627","20.9","19"
"281","Alabama St.","31","14-17","648","20.9","15"
"282","Cleveland St.","32","9-23","670","20.9","10"
"","Georgia","32","19-13","670","20.9","19"
"284","Samford","33","14-19","691","20.9","19"
"","UT Arlington","33","23-10","691","20.9","8"
"286","Wake Forest","31","11-20","650","21.0","12"
"287","UMKC","31","12-19","652","21.0","15"
"","LIU Brooklyn","31","16-15","652","21.0","19"
"289","North Dakota","32","17-15","674","21.1","17"
"290","Siena","33","21-12","697","21.1","16"
"291","Monmouth","34","27-7","721","21.2","18"
"292","UNLV","33","18-15","701","21.2","16"
