"Rank","Name","GM","W-L","3FG","3PG"
"1","North Florida","33","22-11","402","12.2"
"2","Akron","34","26-8","400","11.8"
"3","The Citadel","32","10-22","363","11.3"
"4","IPFW","33","24-9","347","10.5"
"5","Belmont","31","20-11","324","10.5"
"6","Oklahoma","32","25-7","334","10.4"
"7","Eastern Wash.","32","17-15","329","10.3"
"8","Marshall","33","17-16","332","10.1"
"9","Lipscomb","33","12-21","331","10.0"
"10","Iona","32","22-10","320","10.0"
"11","Wyoming","31","13-18","307","9.9"
"12","Indiana","32","25-7","316","9.9"
"13","Princeton","28","22-6","271","9.7"
"14","Hartford","33","10-23","319","9.7"
"15","Central Mich.","32","17-15","309","9.7"
"16","Michigan","34","22-12","326","9.6"
"","Colorado St.","34","18-16","326","9.6"
"18","Montana St.","31","14-17","297","9.6"
"19","Davidson","32","20-12","304","9.5"
"20","Elon","32","16-16","303","9.5"
"21","Columbia","31","21-10","293","9.5"
"22","Duquesne","32","16-16","301","9.4"
"23","Charleston So.","30","9-21","280","9.3"
"24","Duke","33","23-10","306","9.3"
"","Milwaukee","33","20-13","306","9.3"
"26","Michigan St.","34","29-5","310","9.1"
"27","Ga. Southern","31","14-17","282","9.1"
"28","Fairfield","32","19-13","289","9.0"
"","Portland","32","12-20","289","9.0"
"30","BYU","33","23-10","294","8.9"
"","UT Arlington","33","23-10","294","8.9"
"32","Winthrop","32","23-9","285","8.9"
"33","Colgate","30","13-17","267","8.9"
"34","Oakland","32","21-11","284","8.9"
"","Army West Point","32","19-13","284","8.9"
"","St. Mary's (CA)","32","27-5","284","8.9"
"37","Southern Miss.","29","8-21","257","8.9"
"38","Liberty","32","13-19","283","8.8"
"39","Auburn","31","11-20","272","8.8"
"40","VMI","30","9-21","263","8.8"
"41","Syracuse","32","19-13","280","8.8"
"42","Northwestern","32","20-12","278","8.7"
"","Jacksonville","32","16-16","278","8.7"
"","James Madison","32","21-11","278","8.7"
"45","Northeastern","33","18-15","286","8.7"
"46","Canisius","33","14-19","285","8.6"
"47","Tennessee Tech","30","19-11","259","8.6"
"48","UNCG","32","14-18","276","8.6"
"49","Ball St.","32","19-13","275","8.6"
"50","NJIT","31","17-14","266","8.6"
"51","Villanova","34","29-5","291","8.6"
"52","Utah Valley","30","12-18","256","8.5"
"53","Ohio","32","21-11","273","8.5"
"54","Hofstra","33","24-9","279","8.5"
"55","Weber St.","34","26-8","287","8.4"
"56","Vanderbilt","32","19-13","270","8.4"
"","Wofford","32","15-17","270","8.4"
"58","Gardner-Webb","33","17-16","276","8.4"
"59","La Salle","31","9-22","259","8.4"
"60","Kansas","34","30-4","283","8.3"
"61","Eastern Ky.","31","15-16","258","8.3"
"62","Cornell","28","10-18","233","8.3"
"63","Stetson","34","12-22","282","8.3"
"64","Utah St.","31","16-15","257","8.3"
"65","Iowa St.","32","21-11","265","8.3"
"66","Marist","30","7-23","248","8.3"
"67","Appalachian St.","31","9-22","256","8.3"
"68","St. Bonaventure","30","22-8","247","8.2"
"69","Iowa","31","21-10","255","8.2"
"70","Toledo","32","17-15","263","8.2"
"71","Long Beach St.","34","20-14","279","8.2"
"72","Creighton","32","18-14","262","8.2"
"73","UNI","34","22-12","278","8.2"
"74","Lafayette","30","6-24","245","8.2"
"75","Boise St.","32","20-12","261","8.2"
"76","Illinois","34","15-19","277","8.1"
"77","Valparaiso","32","26-6","260","8.1"
"78","Idaho St.","31","16-15","250","8.1"
"79","Charlotte","33","14-19","266","8.1"
"80","Brown","28","8-20","225","8.0"
"81","Youngstown St.","32","11-21","257","8.0"
"82","ETSU","34","23-11","271","8.0"
"83","Arizona St.","32","15-17","254","7.9"
"","SFA","32","27-5","254","7.9"
"85","Cal Poly","30","10-20","238","7.9"
"86","Georgetown","33","15-18","261","7.9"
"87","Middle Tenn.","33","24-9","260","7.9"
"","Southern California","33","21-12","260","7.9"
"89","Boston U.","32","18-14","252","7.9"
"","Ole Miss","32","20-12","252","7.9"
"91","Detroit","31","16-15","244","7.9"
"92","Monmouth","34","27-7","267","7.9"
"93","Temple","32","21-11","251","7.8"
