"Rank","Name","GM","W-L","AST"
"1","Michigan St.","34","29-5","699"
"2","North Carolina","34","28-6","616"
"3","SFA","32","27-5","605"
"4","Purdue","34","26-8","598"
"5","Evansville","34","25-9","595"
"6","UAB","32","26-6","591"
"7","Baylor","33","22-11","587"
"8","Sam Houston St.","34","18-16","575"
"9","Texas A&M","34","26-8","574"
"10","Milwaukee","33","20-13","566"
"11","UT Arlington","33","23-10","561"
"12","Marshall","33","17-16","554"
"13","Villanova","34","29-5","549"
"14","Lipscomb","33","12-21","548"
"15","North Florida","33","22-11","547"
"16","BYU","33","23-10","545"
"17","Kansas","34","30-4","542"
"18","Pittsburgh","32","21-11","541"
"19","St. Mary's (CA)","32","27-5","539"
"","Iona","32","22-10","539"
"21","Marquette","33","20-13","533"
"22","Belmont","31","20-11","532"
"","Utah","34","26-8","532"
"24","Richmond","32","16-16","531"
"","Stony Brook","32","26-6","531"
"26","Iowa St.","32","21-11","529"
"27","SMU","30","25-5","528"
"28","Portland St.","31","13-18","527"
"","Northwestern","32","20-12","527"
"","Toledo","32","17-15","527"
"31","Providence","33","23-10","525"
"32","Xavier","32","27-5","524"
"33","Arkansas","32","16-16","520"
"34","Stetson","34","12-22","519"
"35","UC Irvine","34","25-9","518"
"36","Long Beach St.","34","20-14","516"
"37","Saint Joseph's","34","27-7","514"
"38","UTEP","33","19-14","512"
"39","Indiana","32","25-7","511"
"40","Memphis","34","19-15","510"
"41","Michigan","34","22-12","509"
"42","LSU","33","19-14","507"
"43","Hawaii","32","27-5","504"
"44","IPFW","33","24-9","503"
"45","West Virginia","34","26-8","502"
"","UCLA","32","15-17","502"
"47","William & Mary","31","20-11","501"
"","CSU Bakersfield","32","24-8","501"
"49","Oakland","32","21-11","500"
"50","UNLV","33","18-15","499"
"51","Fairfield","32","19-13","498"
"","The Citadel","32","10-22","498"
"53","Akron","34","26-8","497"
"54","Duquesne","32","16-16","496"
"","Iowa","31","21-10","496"
"","Hofstra","33","24-9","496"
"57","Cincinnati","32","22-10","495"
"","Chattanooga","34","29-5","495"
"59","Eastern Ky.","31","15-16","494"
"60","Georgetown","33","15-18","492"
"","South Dakota","32","14-18","492"
"62","Southern California","33","21-12","491"
"","Mercer","33","19-14","491"
"","Creighton","32","18-14","491"
"65","Kentucky","34","26-8","490"
"66","Army West Point","32","19-13","489"
"67","NJIT","31","17-14","488"
"","Elon","32","16-16","488"
"","VCU","34","24-10","488"
"70","East Carolina","32","12-20","486"
"","Green Bay","35","23-12","486"
"72","Northeastern","33","18-15","485"
"73","USC Upstate","32","10-22","484"
"74","Loyola Marymount","31","14-17","482"
"","Davidson","32","20-12","482"
"76","Charlotte","33","14-19","481"
"77","High Point","31","21-10","479"
"","Arizona","33","25-8","479"
"79","Wright St.","35","22-13","478"
"","Vanderbilt","32","19-13","478"
"81","Lehigh","32","17-15","477"
"","Siena","33","21-12","477"
"83","Bucknell","30","17-13","475"
"84","Virginia","33","26-7","473"
"","UC Santa Barbara","31","18-13","473"
"","Austin Peay","35","18-17","473"
"87","La.-Monroe","33","20-13","472"
"","Ball St.","32","19-13","472"
"","Weber St.","34","26-8","472"
"","Southeastern La.","33","12-21","472"
"91","UConn","34","24-10","471"
"92","Dayton","32","25-7","470"
"","Wofford","32","15-17","470"
"94","Northern Ill.","33","21-12","469"
"","New Mexico St.","33","23-10","469"
