"Rank","Name","GM","W-L","BLKS"
"1","Washington","32","18-14","215"
"2","Oregon","34","28-6","201"
"3","UAB","32","26-6","197"
"4","Kentucky","34","26-8","192"
"5","Bethune-Cookman","32","14-18","191"
"6","Cincinnati","32","22-10","186"
"7","Memphis","34","19-15","185"
"8","San Diego St.","34","25-9","184"
"9","Nevada","32","19-13","182"
"10","Southern California","33","21-12","180"
"11","UC Irvine","34","25-9","179"
"","Ohio St.","33","20-13","179"
"13","St. John's (NY)","32","8-24","178"
"","Maryland","33","25-8","178"
"15","Vanderbilt","32","19-13","177"
"16","South Fla.","33","8-25","176"
"17","Michigan St.","34","29-5","175"
"18","Winthrop","32","23-9","174"
"19","UConn","34","24-10","171"
"","UNLV","33","18-15","171"
"21","North Florida","33","22-11","170"
"","Norfolk St.","33","17-16","170"
"23","Alabama","32","18-14","169"
"24","Oklahoma","32","25-7","168"
"25","Georgia","32","19-13","167"
"26","Colorado","33","22-11","165"
"","Arkansas","32","16-16","165"
"28","Nicholls St.","34","11-23","164"
"29","Chattanooga","34","29-5","163"
"30","CSU Bakersfield","32","24-8","162"
"","Ill.-Chicago","30","5-25","162"
"","Clemson","31","17-14","162"
"33","St. Francis Brooklyn","32","15-17","161"
"","Green Bay","35","23-12","161"
"35","New Mexico St.","33","23-10","159"
"","Rhode Island","32","17-15","159"
"","California","33","23-10","159"
"38","Purdue","34","26-8","158"
"","Arizona","33","25-8","158"
"40","Tennessee","34","15-19","156"
"41","Seton Hall","33","25-8","154"
"42","Siena","33","21-12","151"
"","Harvard","30","14-16","151"
"44","Iowa","31","21-10","150"
"","Towson","32","20-12","150"
"46","FIU","32","13-19","149"
"","North Carolina","34","28-6","149"
"","Louisville","31","23-8","149"
"49","Stony Brook","32","26-6","148"
"50","Florida","33","19-14","147"
"","A&M-Corpus Christi","32","25-7","147"
"","Evansville","34","25-9","147"
"53","Georgetown","33","15-18","146"
"54","Vermont","34","21-13","145"
"","Utah","34","26-8","145"
"56","Old Dominion","35","22-13","144"
"57","Valparaiso","32","26-6","143"
"58","Dayton","32","25-7","142"
"59","North Carolina St.","33","16-17","141"
"","Penn St.","32","16-16","141"
"","Quinnipiac","30","9-21","141"
"","UCF","30","12-18","141"
"","BYU","33","23-10","141"
"64","UNCW","32","25-7","140"
"","Western Ky.","34","18-16","140"
"","Texas","32","20-12","140"
"","Fla. Atlantic","33","8-25","140"
