"Rank","Name","GM","W-L","ORebs","DRebs","REB"
"1","UT Arlington","33","23-10","494","953","1447"
"2","Michigan St.","34","29-5","419","1005","1424"
"3","Colorado","33","22-11","437","963","1400"
"4","North Carolina","34","28-6","477","916","1393"
"5","Purdue","34","26-8","397","995","1392"
"6","Jackson St.","35","20-15","466","924","1390"
"7","Memphis","34","19-15","436","939","1375"
"8","New Mexico St.","33","23-10","401","961","1362"
"9","Old Dominion","35","22-13","465","895","1360"
"","Green Bay","35","23-12","451","909","1360"
"11","George Mason","32","11-21","419","940","1359"
"","Colorado St.","34","18-16","442","917","1359"
"13","BYU","33","23-10","397","958","1355"
"14","Valparaiso","32","26-6","417","929","1346"
"15","Siena","33","21-12","449","887","1336"
"16","West Virginia","34","26-8","541","791","1332"
"17","Buffalo","34","20-14","417","913","1330"
"18","Arizona","33","25-8","384","944","1328"
"19","FGCU","33","20-13","392","935","1327"
"20","Florida","33","19-14","434","890","1324"
"","Mercer","33","19-14","423","901","1324"
"22","Texas A&M","34","26-8","436","887","1323"
"23","Seton Hall","33","25-8","425","896","1321"
"24","Monmouth","34","27-7","366","954","1320"
"25","California","33","23-10","374","945","1319"
"26","Kentucky","34","26-8","442","876","1318"
"","San Diego St.","34","25-9","399","919","1318"
"28","Saint Joseph's","34","27-7","345","967","1312"
"","Xavier","32","27-5","418","894","1312"
"","Western Ky.","34","18-16","405","907","1312"
"31","South Carolina","32","24-8","457","854","1311"
"32","Nevada","32","19-13","399","910","1309"
"33","Gonzaga","33","26-7","350","957","1307"
"34","North Carolina St.","33","16-17","457","849","1306"
"35","Army West Point","32","19-13","396","906","1302"
"","Quinnipiac","30","9-21","498","804","1302"
"","Southern California","33","21-12","396","906","1302"
"38","Northern Ill.","33","21-12","405","890","1295"
"39","Hofstra","33","24-9","391","903","1294"
"40","Tennessee","34","15-19","428","864","1292"
"41","Hampton","31","21-10","438","853","1291"
"42","Austin Peay","35","18-17","407","882","1289"
"","La.-Lafayette","31","17-14","444","845","1289"
"44","Georgia Tech","33","19-14","437","851","1288"
"45","Wagner","32","22-10","448","836","1284"
"46","Kansas","34","30-4","361","922","1283"
"47","Fresno St.","34","25-9","404","874","1278"
"48","Weber St.","34","26-8","291","984","1275"
"","Washington","32","18-14","442","833","1275"
"50","South Fla.","33","8-25","413","858","1271"
"51","VCU","34","24-10","425","845","1270"
"","Utah","34","26-8","328","942","1270"
"53","Oakland","32","21-11","374","895","1269"
"54","UCLA","32","15-17","393","874","1267"
"","Akron","34","26-8","357","910","1267"
"56","Tulane","34","12-22","415","851","1266"
"","Stony Brook","32","26-6","401","865","1266"
"","UNLV","33","18-15","371","895","1266"
"59","Cincinnati","32","22-10","432","828","1260"
"60","Sam Houston St.","34","18-16","382","877","1259"
"61","Gardner-Webb","33","17-16","435","823","1258"
"62","Towson","32","20-12","461","796","1257"
"63","Georgia","32","19-13","373","881","1254"
"64","Duquesne","32","16-16","327","926","1253"
"65","UC Irvine","34","25-9","328","923","1251"
"66","George Washington","33","23-10","391","859","1250"
"67","UNC Asheville","33","22-11","384","863","1247"
"","James Madison","32","21-11","335","912","1247"
"69","Arkansas St.","31","11-20","334","909","1243"
"70","Oklahoma","32","25-7","343","899","1242"
"","UConn","34","24-10","322","920","1242"
"72","Ohio St.","33","20-13","350","890","1240"
"73","Bowling Green","34","16-18","345","893","1238"
"74","Dayton","32","25-7","317","920","1237"
"75","Ill.-Chicago","30","5-25","406","829","1235"
"76","Vanderbilt","32","19-13","304","930","1234"
"","Baylor","33","22-11","453","781","1234"
"78","UAB","32","26-6","359","872","1231"
"79","Idaho","33","21-12","379","851","1230"
"","Ole Miss","32","20-12","424","806","1230"
"","LSU","33","19-14","368","862","1230"
"","Marshall","33","17-16","341","889","1230"
"83","Oregon","34","28-6","399","830","1229"
"84","South Ala.","33","14-19","390","838","1228"
"","Albany (NY)","32","24-8","376","852","1228"
"86","CSU Bakersfield","32","24-8","401","825","1226"
"87","USC Upstate","32","10-22","417","808","1225"
"88","Southern U.","34","22-12","356","868","1224"
"89","Pittsburgh","32","21-11","410","812","1222"
"90","Middle Tenn.","33","24-9","341","879","1220"
"91","Howard","32","12-20","403","815","1218"
"","Jacksonville","32","16-16","339","879","1218"
"","Chattanooga","34","29-5","372","846","1218"
"94","Long Beach St.","34","20-14","357","860","1217"
"95","Indiana St.","32","15-17","343","872","1215"
"","Stetson","34","12-22","331","884","1215"
"","ETSU","34","23-11","357","858","1215"
"","Louisiana Tech","32","23-9","347","868","1215"
"99","South Dakota St.","32","25-7","357","855","1212"
"100","New Hampshire","31","19-12","358","853","1211"
"","Villanova","34","29-5","315","896","1211"
"102","Mississippi Val.","34","7-27","375","834","1209"
"103","Texas Southern","32","18-14","395","813","1208"
"","UT Martin","33","19-14","356","852","1208"
"105","Providence","33","23-10","385","822","1207"
"106","Houston Baptist","33","17-16","338","867","1205"
"","Evansville","34","25-9","260","945","1205"
"","Kent St.","32","19-13","405","800","1205"
"","La.-Monroe","33","20-13","366","839","1205"
"110","Kansas St.","33","17-16","437","766","1203"
"","UNCW","32","25-7","384","819","1203"
"112","Lipscomb","33","12-21","335","867","1202"
"113","Hawaii","32","27-5","344","856","1200"
"","Western Caro.","33","16-17","389","811","1200"
"115","Wichita St.","32","24-8","373","826","1199"
"","Vermont","34","21-13","307","892","1199"
"","Duke","33","23-10","404","795","1199"
"118","IPFW","33","24-9","331","867","1198"
"","Nebraska","34","16-18","377","821","1198"
"120","FIU","32","13-19","328","869","1197"
"121","Eastern Mich.","33","18-15","387","809","1196"
"","Charlotte","33","14-19","374","822","1196"
"","Indiana","32","25-7","385","811","1196"
"","UTEP","33","19-14","299","897","1196"
"125","Milwaukee","33","20-13","321","874","1195"
"126","Longwood","33","10-23","350","843","1193"
"127","Western Mich.","32","13-19","359","831","1190"
"","Iowa","31","21-10","369","821","1190"
"129","Navy","33","19-14","370","817","1187"
"130","Bethune-Cookman","32","14-18","407","779","1186"
"","Arkansas","32","16-16","374","812","1186"
"","Wake Forest","31","11-20","377","809","1186"
"133","Elon","32","16-16","335","850","1185"
"","St. Francis Brooklyn","32","15-17","390","795","1185"
"135","Louisville","31","23-8","415","768","1183"
"","SMU","30","25-5","396","787","1183"
"137","Florida St.","32","19-13","367","814","1181"
"","Iona","32","22-10","339","842","1181"
"","Georgetown","33","15-18","316","865","1181"
"","San Francisco","30","15-15","388","793","1181"
"141","Marquette","33","20-13","311","869","1180"
"142","N.C. Central","32","13-19","395","783","1178"
"143","Houston","31","22-9","402","775","1177"
"","Arizona St.","32","15-17","394","783","1177"
"145","Temple","32","21-11","358","818","1176"
"","Radford","31","16-15","408","768","1176"
"147","LIU Brooklyn","31","16-15","386","789","1175"
"148","North Dakota","32","17-15","284","889","1173"
"","Lamar","30","11-19","415","758","1173"
"","New Mexico","32","17-15","310","863","1173"
"151","Chicago St.","32","4-28","414","758","1172"
"","Furman","33","18-15","355","817","1172"
"153","Maryland","33","25-8","304","867","1171"
"154","Creighton","32","18-14","298","872","1170"
"","Rider","33","13-20","330","840","1170"
"156","Detroit","31","16-15","373","796","1169"
"157","Niagara","32","7-25","384","783","1167"
"158","Northwestern","32","20-12","342","824","1166"
"159","UCF","30","12-18","329","836","1165"
"","UC Santa Barbara","31","18-13","329","836","1165"
"161","Toledo","32","17-15","306","855","1161"
"","UC Riverside","33","14-19","328","833","1161"
"163","Winthrop","32","23-9","291","869","1160"
"164","Montana St.","31","14-17","394","765","1159"
"165","North Texas","32","12-20","362","796","1158"
"166","The Citadel","32","10-22","404","753","1157"
"167","Notre Dame","32","21-11","349","805","1154"
"","Boston U.","32","18-14","293","861","1154"
"","Iowa St.","32","21-11","291","863","1154"
