"Rank","Name","GM","ORebs","DRebs","REB","RPG"
"1","UT Arlington","33","494","953","1447","43.85"
"2","Quinnipiac","30","498","804","1302","43.40"
"3","George Mason","32","419","940","1359","42.47"
"4","Colorado","33","437","963","1400","42.42"
"5","Valparaiso","32","417","929","1346","42.06"
"6","Michigan St.","34","419","1005","1424","41.88"
"7","Hampton","31","438","853","1291","41.65"
"8","La.-Lafayette","31","444","845","1289","41.58"
"9","New Mexico St.","33","401","961","1362","41.27"
"10","Ill.-Chicago","30","406","829","1235","41.17"
"11","BYU","33","397","958","1355","41.06"
"12","Xavier","32","418","894","1312","41.00"
"13","North Carolina","34","477","916","1393","40.97"
"14","South Carolina","32","457","854","1311","40.97"
"15","Purdue","34","397","995","1392","40.94"
"16","Nevada","32","399","910","1309","40.91"
"17","Army West Point","32","396","906","1302","40.69"
"18","Siena","33","449","887","1336","40.48"
"19","Memphis","34","436","939","1375","40.44"
"20","Yale","28","379","752","1131","40.39"
"21","Arizona","33","384","944","1328","40.24"
"22","FGCU","33","392","935","1327","40.21"
"23","Wagner","32","448","836","1284","40.13"
"24","Florida","33","434","890","1324","40.12"
"","Mercer","33","423","901","1324","40.12"
"26","Arkansas St.","31","334","909","1243","40.10"
"27","Seton Hall","33","425","896","1321","40.03"
"28","Colorado St.","34","442","917","1359","39.97"
"29","California","33","374","945","1319","39.97"
"30","Washington","32","442","833","1275","39.84"
"31","Jackson St.","35","466","924","1390","39.71"
"32","Oakland","32","374","895","1269","39.66"
"33","Gonzaga","33","350","957","1307","39.61"
"34","UCLA","32","393","874","1267","39.59"
"35","North Carolina St.","33","457","849","1306","39.58"
"36","Stony Brook","32","401","865","1266","39.56"
"37","Southern California","33","396","906","1302","39.45"
"38","SMU","30","396","787","1183","39.43"
"39","Cincinnati","32","432","828","1260","39.38"
"40","San Francisco","30","388","793","1181","39.37"
"41","Towson","32","461","796","1257","39.28"
"42","Northern Ill.","33","405","890","1295","39.24"
"43","Hofstra","33","391","903","1294","39.21"
"44","Georgia","32","373","881","1254","39.19"
"45","West Virginia","34","541","791","1332","39.18"
"46","Duquesne","32","327","926","1253","39.16"
"47","Buffalo","34","417","913","1330","39.12"
"48","Lamar","30","415","758","1173","39.10"
"49","New Hampshire","31","358","853","1211","39.06"
"50","Coastal Caro.","29","326","806","1132","39.03"
"51","Georgia Tech","33","437","851","1288","39.03"
"52","James Madison","32","335","912","1247","38.97"
"53","Texas A&M","34","436","887","1323","38.91"
"54","Green Bay","35","451","909","1360","38.86"
"","Old Dominion","35","465","895","1360","38.86"
"56","UCF","30","329","836","1165","38.83"
"57","Monmouth","34","366","954","1320","38.82"
"58","Oklahoma","32","343","899","1242","38.81"
"59","Kentucky","34","442","876","1318","38.76"
"","San Diego St.","34","399","919","1318","38.76"
"61","Dayton","32","317","920","1237","38.66"
"62","Saint Joseph's","34","345","967","1312","38.59"
"","Western Ky.","34","405","907","1312","38.59"
"64","Vanderbilt","32","304","930","1234","38.56"
"65","South Fla.","33","413","858","1271","38.52"
"66","UAB","32","359","872","1231","38.47"
"67","Ole Miss","32","424","806","1230","38.44"
"68","Iowa","31","369","821","1190","38.39"
"69","Albany (NY)","32","376","852","1228","38.38"
"70","UNLV","33","371","895","1266","38.36"
"71","CSU Bakersfield","32","401","825","1226","38.31"
"72","USC Upstate","32","417","808","1225","38.28"
"73","Wake Forest","31","377","809","1186","38.26"
