"Rank","Name","GM","Opp TO","Avg"
"1","SFA","32","596","18.63"
"2","West Virginia","34","617","18.15"
"3","Mt. St. Mary's","33","573","17.36"
"4","Green Bay","35","590","16.86"
"5","The Citadel","32","538","16.81"
"6","Maine","30","497","16.57"
"7","New Orleans","30","494","16.47"
"8","Washington","32","524","16.38"
"9","A&M-Corpus Christi","32","521","16.28"
"10","Prairie View","31","499","16.10"
"11","Eastern Mich.","33","529","16.03"
"12","Manhattan","31","491","15.84"
"","Omaha","31","491","15.84"
"14","UNC Asheville","33","519","15.73"
"15","Fordham","30","468","15.60"
"16","Wichita St.","32","495","15.47"
"17","Savannah St.","31","479","15.45"
"18","VCU","34","525","15.44"
"19","Fairleigh Dickinson","32","492","15.38"
"20","CSU Bakersfield","32","490","15.31"
"","Robert Morris","32","490","15.31"
"22","UNLV","33","504","15.27"
"23","UNCW","32","485","15.16"
"","South Carolina","32","485","15.16"
"25","Monmouth","34","515","15.15"
"26","UT Arlington","33","498","15.09"
"27","Eastern Ky.","31","467","15.06"
"28","Fresno St.","34","510","15.00"
"","Tennessee St.","30","450","15.00"
"30","Southern Ill.","32","479","14.97"
"31","Ga. Southern","31","464","14.97"
"32","Florida A&M","29","434","14.97"
"33","Western Caro.","33","493","14.94"
"34","Loyola Chicago","32","476","14.88"
"35","TCU","33","488","14.79"
"36","Boise St.","32","473","14.78"
"37","Samford","33","487","14.76"
"38","Hawaii","32","472","14.75"
"39","High Point","31","457","14.74"
"40","Cornell","28","412","14.71"
"41","Morehead St.","31","456","14.71"
"42","Lamar","30","441","14.70"
"43","Chicago St.","32","470","14.69"
"","North Dakota","32","470","14.69"
"45","Dartmouth","28","411","14.68"
"46","St. John's (NY)","32","468","14.63"
"47","Providence","33","482","14.61"
"48","Jackson St.","35","511","14.60"
"49","LIU Brooklyn","31","452","14.58"
"50","Louisiana Tech","32","465","14.53"
"51","Morgan St.","31","450","14.52"
"52","Col. of Charleston","31","446","14.39"
"53","Tulsa","31","445","14.35"
"","Louisville","31","445","14.35"
"55","Texas A&M","34","488","14.35"
"","Oregon","34","488","14.35"
"57","Wagner","32","459","14.34"
"58","UTEP","33","473","14.33"
"","Kansas St.","33","473","14.33"
"60","Northern Ill.","33","472","14.30"
"61","Arkansas","32","457","14.28"
"62","Chattanooga","34","484","14.24"
"63","Denver","31","441","14.23"
"64","Ole Miss","32","455","14.22"
"65","Georgia St.","30","426","14.20"
"66","Texas St.","31","439","14.16"
"","Portland St.","31","439","14.16"
"68","Gardner-Webb","33","467","14.15"
"69","Long Beach St.","34","481","14.15"
"70","Xavier","32","452","14.13"
"71","Loyola Marymount","31","437","14.10"
"72","Iona","32","451","14.09"
"73","Mississippi Val.","34","479","14.09"
"74","Little Rock","33","464","14.06"
"75","Memphis","34","477","14.03"
"76","Marquette","33","462","14.00"
"","Coppin St.","31","434","14.00"
"78","Wright St.","35","489","13.97"
"79","Miami (OH)","33","461","13.97"
"80","Howard","32","447","13.97"
"","South Dakota","32","447","13.97"
"82","Northwestern St.","28","389","13.89"
"83","Nicholls St.","34","472","13.88"
"84","Cincinnati","32","444","13.88"
"","Fairfield","32","444","13.88"
"86","Villanova","34","471","13.85"
"87","Canisius","33","457","13.85"
"","Southeastern La.","33","457","13.85"
"89","LSU","33","456","13.82"
"90","UMBC","32","442","13.81"
"91","CSUN","30","414","13.80"
"92","Southern U.","34","469","13.79"
"93","Florida St.","32","440","13.75"
"","Illinois St.","32","440","13.75"
"95","NJIT","31","425","13.71"
"96","Baylor","33","452","13.70"
"97","Eastern Ill.","30","410","13.67"
"98","Seton Hall","33","450","13.64"
"99","Southeast Mo. St.","29","395","13.62"
"100","Presbyterian","31","422","13.61"
"101","Air Force","32","435","13.59"
"102","UC Davis","30","407","13.57"
"103","Syracuse","32","434","13.56"
"104","Oregon St.","31","420","13.55"
"105","Hartford","33","447","13.55"
"106","Stanford","30","405","13.50"
"","Grambling","30","405","13.50"
"","Campbell","30","405","13.50"
"109","Middle Tenn.","33","445","13.48"
"110","Kansas","34","458","13.47"
"111","Cleveland St.","32","431","13.47"
"112","Nevada","32","430","13.44"
"113","Austin Peay","35","470","13.43"
"114","Portland","32","429","13.41"
"115","Lipscomb","33","442","13.39"
"","Charlotte","33","442","13.39"
"","Norfolk St.","33","442","13.39"
"118","Sam Houston St.","34","455","13.38"
"119","Navy","33","441","13.36"
"","Marshall","33","441","13.36"
"121","Detroit","31","414","13.35"
"122","Nebraska","34","454","13.35"
"","Illinois","34","454","13.35"
"124","ETSU","34","453","13.32"
"125","N.C. Central","32","425","13.28"
"","Rice","32","425","13.28"
"","Delaware St.","32","425","13.28"
"128","Ark.-Pine Bluff","33","438","13.27"
"129","Buffalo","34","450","13.24"
"130","Murray St.","31","410","13.23"
"131","Albany (NY)","32","423","13.22"
"132","Valparaiso","32","422","13.19"
"","Bethune-Cookman","32","422","13.19"
"134","Bucknell","30","395","13.17"
"","St. Bonaventure","30","395","13.17"
"136","Holy Cross","33","434","13.15"
"137","North Carolina","34","447","13.15"
"138","Sacred Heart","30","394","13.13"
"139","Butler","31","407","13.13"
"","Iowa","31","407","13.13"
"141","South Ala.","33","433","13.12"
"","BYU","33","433","13.12"
"143","VMI","30","393","13.10"
"","Seattle","30","393","13.10"
"145","Boston College","32","419","13.09"
"146","Columbia","31","405","13.06"
"147","Indiana","32","418","13.06"
"148","Mississippi St.","31","404","13.03"
"149","Auburn","31","403","13.00"
"","La Salle","31","403","13.00"
"151","Tulane","34","441","12.97"
"152","Alabama St.","31","402","12.97"
"153","Florida","33","427","12.94"
"154","Saint Louis","32","414","12.94"
"155","Princeton","28","362","12.93"
"156","Virginia Tech","33","426","12.91"
"","Idaho","33","426","12.91"
"158","Jacksonville","32","413","12.91"
"159","Kennesaw St.","31","400","12.90"
"160","Colgate","30","387","12.90"
"161","Evansville","34","438","12.88"
"162","UMES","32","412","12.88"
"163","UTSA","32","411","12.84"
"","Arizona St.","32","411","12.84"
"165","Idaho St.","31","398","12.84"
"166","Utah Valley","30","385","12.83"
"167","Montana","32","409","12.78"
"","Stony Brook","32","409","12.78"
"169","Texas Tech","31","396","12.77"
"170","Furman","33","420","12.73"
"171","Oklahoma","32","407","12.72"
"","Youngstown St.","32","407","12.72"
"173","UAB","32","406","12.69"
"","Richmond","32","406","12.69"
"175","IUPUI","32","405","12.66"
"","Creighton","32","405","12.66"
"177","St. Francis Brooklyn","32","404","12.63"
"178","Northern Ariz.","30","378","12.60"
"179","East Carolina","32","403","12.59"
"","Towson","32","403","12.59"
"","North Texas","32","403","12.59"
"182","Troy","31","390","12.58"
"183","N.C. A&T","32","402","12.56"
"184","Charleston So.","30","376","12.53"
"185","Indiana St.","32","401","12.53"
"186","UC Santa Barbara","31","388","12.52"
"","Hampton","31","388","12.52"
"188","Yale","28","350","12.50"
"","Texas","32","400","12.50"
"","Lehigh","32","400","12.50"
"191","Jacksonville St.","31","387","12.48"
"","San Jose St.","31","387","12.48"
"193","Southern California","33","411","12.45"
"","Houston Baptist","33","411","12.45"
"195","Houston","31","386","12.45"
"196","Dayton","32","398","12.44"
"","Massachusetts","32","398","12.44"
"","Army West Point","32","398","12.44"
"199","Iowa St.","32","397","12.41"
"","Rhode Island","32","397","12.41"
"201","Siena","33","409","12.39"
"202","Northern Colo.","31","384","12.39"
"","Minnesota","31","384","12.39"
"204","Binghamton","30","371","12.37"
"205","Longwood","33","408","12.36"
"206","Kentucky","34","420","12.35"
"207","Southern Utah","29","358","12.34"
"208","San Diego St.","34","419","12.32"
"209","Missouri St.","32","394","12.31"
"210","FGCU","33","406","12.30"
"211","Quinnipiac","30","369","12.30"
"212","New Mexico","32","393","12.28"
"","Oakland","32","393","12.28"
"214","Tennessee","34","417","12.26"
"","South Carolina St.","34","417","12.26"
"","Stetson","34","417","12.26"
"217","Belmont","31","380","12.26"
"218","DePaul","31","379","12.23"
"219","UConn","34","415","12.21"
"220","UMKC","31","378","12.19"
"221","South Dakota St.","32","390","12.19"
"","Toledo","32","390","12.19"
"223","Duke","33","402","12.18"
"224","Wisconsin","32","389","12.16"
"","Western Mich.","32","389","12.16"
"226","Rider","33","401","12.15"
"227","Sacramento St.","31","376","12.13"
"228","Liberty","32","388","12.13"
